date,direction,prior_close,signal_px,entry,exit,gross_points,net_points,net_usd,scenario
2026-03-23 00:00:00-04:00,long,6562.5,6650.75,6650.5,6631.5,-19.0,-19.6,-980.0000000000001,PRIMARY
2026-03-24 00:00:00-04:00,short,6631.5,6619.75,6619.5,6607.0,12.5,11.9,595.0,PRIMARY
2026-03-25 00:00:00-04:00,long,6607.0,6640.25,6640.25,6642.0,1.75,1.15,57.49999999999999,PRIMARY
2026-03-26 00:00:00-04:00,short,6642.0,6534.0,6534.0,6523.0,11.0,10.4,520.0,PRIMARY
2026-03-27 00:00:00-04:00,short,6523.0,6416.0,6416.0,6407.25,8.75,8.15,407.5,PRIMARY
2026-03-30 00:00:00-04:00,short,6407.25,6362.5,6362.75,6387.75,-25.0,-25.6,-1280.0,PRIMARY
2026-03-31 00:00:00-04:00,long,6387.75,6561.5,6561.75,6569.25,7.5,6.9,345.0,PRIMARY
2026-04-01 00:00:00-04:00,long,6569.25,6628.25,6628.25,6619.5,-8.75,-9.35,-467.5,PRIMARY
2026-04-02 00:00:00-04:00,short,6619.5,6608.0,6608.0,6623.25,-15.25,-15.85,-792.5,PRIMARY
2026-04-06 00:00:00-04:00,long,6623.25,6642.5,6642.75,6653.0,10.25,9.65,482.5,PRIMARY
2026-04-07 00:00:00-04:00,short,6653.0,6629.75,6629.75,6656.0,-26.25,-26.85,-1342.5,PRIMARY
2026-04-08 00:00:00-04:00,long,6656.0,6799.5,6799.5,6823.5,24.0,23.4,1170.0,PRIMARY
2026-04-09 00:00:00-04:00,long,6823.5,6863.0,6863.25,6861.75,-1.5,-2.1,-105.0,PRIMARY
2026-04-10 00:00:00-04:00,short,6861.75,6858.75,6858.75,6855.5,3.25,2.65,132.5,PRIMARY
2026-04-13 00:00:00-04:00,long,6855.5,6900.0,6899.75,6921.25,21.5,20.9,1045.0,PRIMARY
2026-04-14 00:00:00-04:00,long,6921.25,7004.5,7004.75,7006.0,1.25,0.65,32.5,PRIMARY
2026-04-15 00:00:00-04:00,long,7006.0,7061.75,7061.75,7060.0,-1.75,-2.35,-117.5,PRIMARY
2026-01-21 00:00:00-05:00,long,6833.25,6910.5,6910.5,6910.75,0.25,-0.8500000000000001,-42.50000000000001,STRESS
2026-01-22 00:00:00-05:00,long,6910.75,6938.25,6938.25,6946.0,7.75,6.65,332.5,STRESS
2026-01-23 00:00:00-05:00,short,6946.0,6942.5,6942.5,6945.5,-3.0,-4.1,-204.99999999999997,STRESS
2026-01-26 00:00:00-05:00,long,6945.5,6989.0,6989.0,6980.5,-8.5,-9.6,-480.0,STRESS
2026-01-27 00:00:00-05:00,long,6980.5,7013.25,7013.25,7009.0,-4.25,-5.35,-267.5,STRESS
2026-01-28 00:00:00-05:00,short,7009.0,7006.25,7006.25,7006.75,-0.5,-1.6,-80.0,STRESS
2026-01-29 00:00:00-05:00,short,7006.75,6966.5,6966.5,6990.0,-23.5,-24.6,-1230.0,STRESS
2026-01-30 00:00:00-05:00,short,6990.0,6948.25,6948.5,6968.25,-19.75,-20.85,-1042.5,STRESS
2026-02-02 00:00:00-05:00,long,6968.25,7005.75,7005.5,7003.0,-2.5,-3.6,-180.0,STRESS
2026-02-03 00:00:00-05:00,short,7003.0,6921.75,6921.75,6940.75,-19.0,-20.1,-1005.0000000000001,STRESS
2026-02-04 00:00:00-05:00,short,6940.75,6920.75,6920.75,6906.5,14.25,13.15,657.5,STRESS
2026-02-05 00:00:00-05:00,short,6906.5,6821.75,6821.5,6817.75,3.75,2.65,132.5,STRESS
2026-02-06 00:00:00-05:00,long,6817.75,6939.5,6939.5,6948.5,9.0,7.9,395.0,STRESS
2026-02-09 00:00:00-05:00,long,6948.5,6987.0,6987.0,6980.25,-6.75,-7.85,-392.5,STRESS
2026-02-10 00:00:00-05:00,short,6980.25,6973.75,6973.5,6961.25,12.25,11.15,557.5,STRESS
2026-02-11 00:00:00-05:00,long,6961.25,6962.0,6962.0,6958.75,-3.25,-4.35,-217.49999999999997,STRESS
2026-02-12 00:00:00-05:00,short,6958.75,6870.25,6870.0,6851.0,19.0,17.9,894.9999999999999,STRESS
2026-02-13 00:00:00-05:00,short,6851.0,6841.0,6841.0,6850.0,-9.0,-10.1,-505.0,STRESS
2026-02-17 00:00:00-05:00,long,6850.0,6863.25,6863.0,6862.5,-0.5,-1.6,-80.0,STRESS
2026-02-18 00:00:00-05:00,long,6862.5,6875.25,6875.25,6895.25,20.0,18.9,944.9999999999999,STRESS
2026-02-19 00:00:00-05:00,short,6895.25,6861.5,6861.25,6877.75,-16.5,-17.6,-880.0000000000001,STRESS
2026-02-20 00:00:00-05:00,long,6877.75,6914.5,6914.5,6924.75,10.25,9.15,457.5,STRESS
2026-02-23 00:00:00-05:00,short,6924.75,6843.0,6843.0,6854.0,-11.0,-12.1,-605.0,STRESS
2026-02-24 00:00:00-05:00,long,6854.0,6894.5,6894.5,6903.25,8.75,7.65,382.5,STRESS
2026-02-25 00:00:00-05:00,long,6903.25,6957.75,6957.75,6959.5,1.75,0.6499999999999999,32.49999999999999,STRESS
2026-02-26 00:00:00-05:00,short,6959.5,6914.75,6914.75,6921.5,-6.75,-7.85,-392.5,STRESS
2026-02-27 00:00:00-05:00,short,6921.5,6881.5,6881.25,6888.25,-7.0,-8.1,-405.0,STRESS
2026-03-02 00:00:00-05:00,short,6888.25,6877.5,6877.5,6886.75,-9.25,-10.35,-517.5,STRESS
2026-03-03 00:00:00-05:00,short,6886.75,6833.75,6833.75,6826.0,7.75,6.65,332.5,STRESS
