entry_time,exit_time,model,direction,tag,risk_ticks,raw_r,spread_cost_points,primary_r,stress_r,reason,year,period,session,hour,weekday,model_direction,md_session,md_weekday,risk_quartile
2021-01-25 11:15:00,2021-01-25 11:15:00,kalman_mom,short,kalman_mom_short,45.400000000001455,-1.0055066079295152,0.2,-1.023127753303964,-1.0407488986784128,stop,2021,DEV,MORNING_1030_1200,11,Monday,kalman_mom__short,kalman_mom__short__MORNING_1030_1200,kalman_mom__short__Monday,Q2
2021-01-25 11:44:00,2021-01-25 11:45:00,or_rev,long,or_rev_long,57.599999999998545,0.9574652777778272,0.2,0.9435763888889379,0.9296875000000487,trail,2021,DEV,MORNING_1030_1200,11,Monday,or_rev__long,or_rev__long__MORNING_1030_1200,or_rev__long__Monday,Q4_WIDE
2021-01-25 13:49:00,2021-01-25 13:55:00,pm_mom,long,pm_mom_long,63.19999999999709,-1.0039556962025318,0.2,-1.0166139240506336,-1.0292721518987356,stop,2021,DEV,PM_1330_1500,13,Monday,pm_mom__long,pm_mom__long__PM_1330_1500,pm_mom__long__Monday,Q4_WIDE
2021-01-26 10:55:00,2021-01-26 10:58:00,vwap_scalp,short,vwap_scalp_short,41.0,0.774390243902439,0.2,0.7548780487804878,0.7353658536585366,trail,2021,DEV,MORNING_1030_1200,10,Tuesday,vwap_scalp__short,vwap_scalp__short__MORNING_1030_1200,vwap_scalp__short__Tuesday,Q1_TIGHT
2021-01-26 14:28:00,2021-01-26 14:35:00,pm_mom,short,pm_mom_short,73.59999999999854,-1.0033967391304348,0.2,-1.0142663043478264,-1.0251358695652177,stop,2021,DEV,PM_1330_1500,14,Tuesday,pm_mom__short,pm_mom__short__PM_1330_1500,pm_mom__short__Tuesday,Q4_WIDE
2021-01-27 10:21:00,2021-01-27 10:21:00,kalman_mom,long,kalman_mom_long,49.400000000001455,2.5020242914978725,0.2,2.485829959514067,2.4696356275302622,target,2021,DEV,OPEN_0930_1030,10,Wednesday,kalman_mom__long,kalman_mom__long__OPEN_0930_1030,kalman_mom__long__Wednesday,Q3
2021-01-28 10:18:00,2021-01-28 10:19:00,or_rev,short,or_rev_short,53.0,-1.0047169811320755,0.2,-1.019811320754717,-1.0349056603773585,stop,2021,DEV,OPEN_0930_1030,10,Thursday,or_rev__short,or_rev__short__OPEN_0930_1030,or_rev__short__Thursday,Q3
2021-01-28 10:21:00,2021-01-28 10:22:00,vwap_rev,short,vwap_rev_short,47.599999999998545,-0.005252100840336295,0.2,-0.022058823529412443,-0.03886554621848859,trail,2021,DEV,OPEN_0930_1030,10,Thursday,vwap_rev__short,vwap_rev__short__OPEN_0930_1030,vwap_rev__short__Thursday,Q2
2021-01-28 10:53:00,2021-01-28 10:58:00,ou_rev,short,ou_rev_short,66.0,-1.003787878787879,0.2,-1.015909090909091,-1.028030303030303,trail,2021,DEV,MORNING_1030_1200,10,Thursday,ou_rev__short,ou_rev__short__MORNING_1030_1200,ou_rev__short__Thursday,Q4_WIDE
2021-01-28 10:59:00,2021-01-28 11:01:00,ou_rev,short,ou_rev_short,75.0,-1.0033333333333334,0.2,-1.014,-1.0246666666666668,stop,2021,DEV,MORNING_1030_1200,10,Thursday,ou_rev__short,ou_rev__short__MORNING_1030_1200,ou_rev__short__Thursday,Q4_WIDE
