year,sample,entry_model,target_r,trades,tp_pct,sl_pct,time_pct,ambiguous_same_bar_pct,avg_gross_R,pf_gross,avg_net_R_legacy22,pf_net_legacy22,avg_net_R_cost1_5x,pf_net_cost1_5x,median_risk_price,median_entry_delay_minutes,median_legacy_commission_R
2018,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.0,14,14.285714285714285,78.57142857142857,7.142857142857142,0.0,-0.3864177097341399,0.5081956421565491,-0.7357287255609183,0.3099944443188971,-0.9103842334743072,0.2454588797984066,0.702750000000151,9.0,0.3130733248283145
2019,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.0,12,16.666666666666664,83.33333333333334,0.0,0.0,-0.5,0.4,-0.7364593116025877,0.2866874344762835,-0.8546889674038814,0.2449796226054904,0.9477500000001556,8.0,0.2334481139019893
2020,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.0,19,15.789473684210526,84.21052631578947,0.0,21.052631578947366,-0.5263157894736842,0.375,-0.6858111689511263,0.3037688840762081,-0.7655588586898474,0.2753807114026059,1.7299377173778794,7.0,0.1271722084500596
2021,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.0,8,25.0,75.0,0.0,37.5,-0.2514939611818423,0.6653413411515263,-0.4662714057046752,0.4969430359007206,-0.5736601279660916,0.4345763736493357,0.9635593015867698,6.0,0.22855003088517
2022,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.0,13,38.46153846153847,61.53846153846154,0.0,46.15384615384615,0.1538461538461538,1.25,-0.0376187988012697,0.9488152610652144,-0.1333512751249815,0.8322096858291731,1.0834999999997308,8.0,0.2030456852792382
2023,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.0,12,41.66666666666667,58.333333333333336,0.0,16.666666666666664,0.25,1.4285714285714286,-0.0016304695356897,0.9977789186995882,-0.1274457043035345,0.8425557514545757,0.8062499999999773,8.5,0.2728713916171826
2024,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.0,18,27.77777777777778,66.66666666666666,5.555555555555555,33.33333333333333,-0.0631249119842268,0.90531263202366,-0.2713142095547419,0.6693146816495545,-0.3754088583399994,0.581650619644633,1.0162500000003547,7.5,0.2164851125634685
2025,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.0,12,16.666666666666664,83.33333333333334,0.0,16.666666666666664,-0.5,0.4,-0.6042606881042784,0.3439547386685463,-0.6563910321564175,0.3197538617521316,1.9440977076433228,5.0,0.1132972095478342
2011,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.5,14,21.428571428571427,78.57142857142857,0.0,7.142857142857142,-0.2944759257569141,0.6452910168200268,-0.4900769622220631,0.5041487978825844,-0.5878774804546377,0.4492627189896749,1.1269999999999527,6.5,0.1953206239168196
2012,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.5,11,9.090909090909092,90.9090909090909,0.0,9.090909090909092,-0.6818181818181818,0.25,-0.8894014358903896,0.1899676218503098,-0.9931930629264932,0.1670836948549342,1.0305000000000746,7.0,0.2134885977680583
2013,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.5,11,27.27272727272727,72.72727272727273,0.0,9.090909090909092,-0.045454545454533,0.9375000000000172,-0.2316651202726755,0.7319591960292771,-0.3247704076817468,0.6518325238612575,1.2025000000001,7.0,0.1829521829521677
2014,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.5,15,26.666666666666668,66.66666666666666,6.666666666666667,13.333333333333334,-0.016702052370815,0.9755592377796588,-0.2793341570653864,0.6774778258346784,-0.4106502094126721,0.5711023185462742,0.8414999999993142,8.0,0.2614379084969451
2015,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.5,7,14.285714285714285,85.71428571428571,0.0,14.285714285714285,-0.5,0.4166666666666667,-0.7858850124651505,0.2865566072665755,-0.9288275186977258,0.2409900200908409,0.7575000000001637,5.0,0.2904290429042276
2016,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.5,16,18.75,81.25,0.0,25.0,-0.3437500000000084,0.5769230769230665,-0.6138102854248032,0.4070293968851614,-0.7488404281372005,0.3468276479801829,0.789000000000101,7.0,0.2799582594782749
2017,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.5,18,11.11111111111111,77.77777777777779,11.11111111111111,27.77777777777778,-0.4409813251232106,0.4330240105558721,-0.7589917687226029,0.2624650243478827,-0.9179969905222992,0.2090138741787022,0.7222500000000309,7.5,0.3065636395207328
2018,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.5,14,0.0,85.71428571428571,14.285714285714285,0.0,-0.7280575235544242,0.1505995558531718,-1.0773685393812025,0.0777478163438498,-1.2520240472945916,0.0596675563122586,0.702750000000151,9.0,0.3130733248283145
2019,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.5,12,16.666666666666664,83.33333333333334,0.0,0.0,-0.4166666666666747,0.4999999999999904,-0.6531259782692623,0.3674016203887214,-0.7713556340705562,0.3185951332560892,0.9477500000001556,8.0,0.2334481139019893
2020,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.5,19,10.526315789473683,84.21052631578947,5.263157894736842,21.052631578947366,-0.4791801839624443,0.4309735315445974,-0.6386755634398864,0.351620649562945,-0.7184232531786076,0.3199956597445458,1.7299377173778794,7.0,0.1271722084500596
2021,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.5,8,25.0,75.0,0.0,37.5,-0.1264939611818524,0.8316766764393945,-0.3412714057046853,0.6318046631484202,-0.4486601279661017,0.5577816477275875,0.9635593015867698,6.0,0.22855003088517
2022,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.5,13,30.76923076923077,61.53846153846154,7.6923076923076925,46.15384615384615,0.2662355694846959,1.4326328004126307,0.0747706168372722,1.1017340963762912,-0.0209618594864394,0.973624571752029,1.0834999999997308,8.0,0.2030456852792382
2023,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.5,12,25.0,66.66666666666666,8.333333333333332,16.666666666666664,0.0988955823293142,1.1483433734939714,-0.1527348872063754,0.8177433147166011,-0.2785501219742203,0.6984402076502262,0.8062499999999773,8.5,0.2728713916171826
2024,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.5,18,22.22222222222222,72.22222222222221,5.555555555555555,33.33333333333333,-0.1186804675397737,0.8356731987910826,-0.3268697651102888,0.6337136726673832,-0.4309644138955464,0.559103005735833,1.0162500000003547,7.5,0.2164851125634685
2025,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.5,12,8.333333333333332,91.66666666666666,0.0,16.666666666666664,-0.7083333333333334,0.2272727272727272,-0.8125940214376116,0.1952862382890436,-0.8647243654897508,0.1814078870317838,1.9440977076433228,5.0,0.1132972095478342
2011,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,3.0,14,21.428571428571427,78.57142857142857,0.0,7.142857142857142,-0.1873330686140512,0.7743492201840406,-0.3829341050792003,0.6125540456455066,-0.4807346233117748,0.5496366366585475,1.1269999999999527,6.5,0.1953206239168196
2012,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,3.0,11,9.090909090909092,90.9090909090909,0.0,9.090909090909092,-0.6363636363636364,0.3,-0.8439468904358441,0.2313658612352036,-0.947738517471948,0.2052030026363363,1.0305000000000746,7.0,0.2134885977680583
2013,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,3.0,11,27.27272727272727,72.72727272727273,0.0,9.090909090909092,0.0909090909090909,1.125,-0.0953014839090516,0.889734430731228,-0.1884067713181228,0.7980200519945129,1.2025000000001,7.0,0.1829521829521677
2014,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,3.0,15,26.666666666666668,66.66666666666666,6.666666666666667,13.333333333333334,0.116631280962488,1.170671085335537,-0.1460008237320834,0.8314259036750131,-0.277316876079369,0.71036039321995,0.8414999999993142,8.0,0.2614379084969451
2015,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,3.0,7,14.285714285714285,85.71428571428571,0.0,14.285714285714285,-0.4285714285714285,0.5,-0.7144564410365791,0.3514010075666277,-0.8573989472691544,0.2993593055325048,0.7575000000001637,5.0,0.2904290429042276
2016,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,3.0,16,6.25,93.75,0.0,25.0,-0.75,0.2,-1.0200602854247949,0.1420523979361498,-1.1550904281371923,0.1213911602798511,0.789000000000101,7.0,0.2799582594782749
2017,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,3.0,18,5.555555555555555,83.33333333333334,11.11111111111111,27.77777777777778,-0.6076479917898773,0.2708224098521473,-0.9256584353892694,0.1581574125485315,-1.0846636571889656,0.1242116320687873,0.7222500000000309,7.5,0.3065636395207328
2018,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,3.0,14,0.0,85.71428571428571,14.285714285714285,0.0,-0.7280575235544242,0.1505995558531718,-1.0773685393812025,0.0777478163438498,-1.2520240472945916,0.0596675563122586,0.702750000000151,9.0,0.3130733248283145
2019,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,3.0,12,8.333333333333332,91.66666666666666,0.0,0.0,-0.6666666666666666,0.2727272727272727,-0.9031259782692544,0.2060915889268332,-1.021355634070548,0.1816197588434393,0.9477500000001556,8.0,0.2334481139019893
2020,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,3.0,19,0.0,94.73684210526316,5.263157894736842,21.052631578947366,-0.8476012365940232,0.1053098058174198,-1.0070966160714654,0.0866707741391158,-1.0868443058101864,0.079190548664689,1.7299377173778794,7.0,0.1271722084500596
2021,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,3.0,8,12.5,87.5,0.0,37.5,-0.5014939611818423,0.4278409397075132,-0.7162714057046752,0.3254156113859179,-0.8236601279660918,0.2865333105815911,0.9635593015867698,6.0,0.22855003088517
2022,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,3.0,13,23.07692307692308,61.53846153846154,15.384615384615383,46.15384615384615,0.2457943124044895,1.3994157576572954,0.0543293597570659,1.0739213952670286,-0.0414031165666458,0.9479041956677366,1.0834999999997308,8.0,0.2030456852792382
2023,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,3.0,12,25.0,66.66666666666666,8.333333333333332,16.666666666666664,0.2238955823293242,1.3358433734939863,-0.0277348872063654,0.9669042960557468,-0.1535501219742102,0.8337658495008279,0.8062499999999773,8.5,0.2728713916171826
2024,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,3.0,18,22.22222222222222,72.22222222222221,5.555555555555555,33.33333333333333,-0.0075693564286713,0.9895193526372243,-0.2157586539991863,0.7582234473814807,-0.3198533027844438,0.6727749316273997,1.0162500000003547,7.5,0.2164851125634685
2025,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,3.0,12,8.333333333333332,91.66666666666666,0.0,16.666666666666664,-0.6666666666666666,0.2727272727272727,-0.770927354770945,0.2365488358306429,-0.8230576988230841,0.2208516752124156,1.9440977076433228,5.0,0.1132972095478342
2011,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,0.5,932,51.18025751072961,26.18025751072961,22.63948497854077,0.0,-0.0463897693646881,0.8516039564465562,-0.1020062900781096,0.6954626247542262,-0.1298145504348204,0.6250376705377669,4.3399999999998045,1.0,0.0506912872996156
