dt,date,contract,segment,open,high,low,close,volume
2021-06-15 08:15:00,2021-06-15,MNQ 09-21,9,14139.75,14145.25,14135.75,14141.25,2400.0
2021-06-16 03:00:00,2021-06-16,MNQ 09-21,9,14041.5,14048.75,14037.0,14040.25,2642.0
2021-06-16 03:15:00,2021-06-16,MNQ 09-21,9,14040.5,14041.5,14030.0,14031.75,2446.0
2021-06-16 03:30:00,2021-06-16,MNQ 09-21,9,14031.75,14038.0,14030.5,14036.0,1335.0
2021-06-16 03:45:00,2021-06-16,MNQ 09-21,9,14035.75,14041.0,14032.5,14036.0,1381.0
2021-06-16 04:00:00,2021-06-16,MNQ 09-21,9,14036.25,14038.5,14028.0,14033.25,2196.0
2021-06-16 04:15:00,2021-06-16,MNQ 09-21,9,14033.0,14034.5,14029.75,14030.25,1264.0
2021-06-16 04:30:00,2021-06-16,MNQ 09-21,9,14030.0,14036.75,14026.5,14033.5,1365.0
2021-06-16 04:45:00,2021-06-16,MNQ 09-21,9,14033.5,14038.75,14033.0,14036.25,1173.0
2021-06-16 05:00:00,2021-06-16,MNQ 09-21,9,14036.25,14039.75,14032.5,14033.25,1456.0
2021-06-16 05:15:00,2021-06-16,MNQ 09-21,9,14033.75,14034.5,14024.25,14024.5,1472.0
2021-06-16 05:30:00,2021-06-16,MNQ 09-21,9,14024.75,14033.5,14024.25,14033.0,1293.0
2021-06-16 05:45:00,2021-06-16,MNQ 09-21,9,14033.0,14036.0,14031.25,14034.25,1029.0
2021-06-16 06:00:00,2021-06-16,MNQ 09-21,9,14033.75,14036.75,14030.5,14034.0,1079.0
2021-06-16 06:15:00,2021-06-16,MNQ 09-21,9,14034.0,14044.0,14033.25,14042.5,1932.0
2021-06-16 06:30:00,2021-06-16,MNQ 09-21,9,14042.5,14046.75,14038.75,14039.0,2119.0
2021-06-16 06:45:00,2021-06-16,MNQ 09-21,9,14039.0,14041.75,14035.25,14035.25,1737.0
2021-06-16 07:00:00,2021-06-16,MNQ 09-21,9,14035.5,14037.0,14029.25,14034.5,1922.0
2021-06-16 07:15:00,2021-06-16,MNQ 09-21,9,14034.5,14043.75,14031.5,14034.0,2025.0
2021-06-16 07:30:00,2021-06-16,MNQ 09-21,9,14033.75,14039.25,14030.5,14034.25,1982.0
2021-06-16 07:45:00,2021-06-16,MNQ 09-21,9,14034.5,14034.5,14028.5,14031.0,1442.0
2021-06-16 08:00:00,2021-06-16,MNQ 09-21,9,14031.25,14037.0,14018.25,14035.0,4861.0
2021-06-16 08:15:00,2021-06-16,MNQ 09-21,9,14035.25,14038.5,14033.0,14036.0,2604.0
2021-06-17 03:00:00,2021-06-17,MNQ 09-21,9,13903.75,13912.5,13893.25,13904.25,5076.0
2021-06-17 03:15:00,2021-06-17,MNQ 09-21,9,13904.0,13911.5,13899.0,13908.25,3214.0
2021-06-17 03:30:00,2021-06-17,MNQ 09-21,9,13908.25,13909.75,13895.5,13899.25,3092.0
2021-06-17 03:45:00,2021-06-17,MNQ 09-21,9,13899.75,13900.0,13883.25,13893.0,3157.0
2021-06-17 04:00:00,2021-06-17,MNQ 09-21,9,13892.5,13910.0,13888.0,13904.5,4386.0
2021-06-17 04:15:00,2021-06-17,MNQ 09-21,9,13904.25,13904.25,13878.5,13894.25,5058.0
2021-06-17 04:30:00,2021-06-17,MNQ 09-21,9,13894.0,13901.25,13873.0,13876.25,3712.0
2021-06-17 04:45:00,2021-06-17,MNQ 09-21,9,13876.75,13882.25,13867.75,13879.75,4354.0
2021-06-17 05:00:00,2021-06-17,MNQ 09-21,9,13879.5,13898.0,13877.5,13892.75,3550.0
2021-06-17 05:15:00,2021-06-17,MNQ 09-21,9,13893.0,13904.5,13891.75,13896.75,3137.0
2021-06-17 05:30:00,2021-06-17,MNQ 09-21,9,13896.25,13901.0,13890.75,13895.25,2378.0
2021-06-17 05:45:00,2021-06-17,MNQ 09-21,9,13894.75,13908.25,13894.5,13906.25,2938.0
2021-06-17 06:00:00,2021-06-17,MNQ 09-21,9,13906.0,13916.75,13902.25,13910.5,3626.0
