landmark_i,side,eidx,pidx,iou,center_err_vseg,lo_err_vseg,hi_err_vseg,score_exact,score_proxy,score_abs_err
161047,-1,70812,65860,0.9956341622826568,0.01828153564939271,0.0005660018888513645,0.009816382999321409,0.34623934547084134,0.34467674848224716,0.0015625969885941782
161047,-1,70813,65861,0.9937722882501628,0.0,0.0042811579580393465,0.00497712936493277,0.48521708623265325,0.49176635416038744,0.0065492679277341925
161047,1,70814,65862,0.9961785920585899,0.01828153564939271,0.0009393766348755126,0.00571068309894615,0.6994969555024146,0.6977868213927509,0.0017101341096636968
161047,1,70815,65863,0.9478205862992668,0.05484460694734679,0.029344957521031955,0.06645735893670497,0.3384256807909803,0.33466689068182864,0.003758790109151644
161047,1,70816,65864,0.9961867474817244,0.0,0.023534991209557425,0.014520057455434606,0.33303457848925677,0.33399826908156216,0.0009636905923053884
161047,1,70817,65865,0.9852547923822852,0.018281535648561362,0.009485393949488389,0.018659043686368695,0.07175926481295479,0.07262040844276628,0.0008611436298114894
161062,-1,70819,65866,0.995638651079585,0.01818181818220904,0.000897235366375291,0.009416390781880375,0.3656040955445608,0.3640045158231186,0.0015995797214422014
161062,-1,70820,65867,0.994233477756149,0.0,0.004273377531219914,0.004248577919992304,0.48276598691781014,0.48897864816935915,0.006212661251549012
161062,-1,70821,65868,0.9875683045405182,0.0,0.01598057787800711,0.016735410064768162,0.8698730396796147,0.8701725868861294,0.00029954720651470534
161062,1,70822,65869,0.9955174220798336,0.01818181818220904,0.0015001214135483513,0.006260569829958674,0.7273439016266938,0.7264165871404109,0.0009273144862829152
161062,1,70823,65870,0.9510652667206178,0.036363636363591266,0.02620474290365111,0.06284537390454456,0.47061358859175917,0.4632064800639017,0.0074071085278574755
161062,1,70824,65871,0.9952817223515539,0.0,0.030279532692547854,0.01659312485819213,0.4244110160466723,0.4259053778589795,0.0014943618123071656
161062,1,70825,65872,0.9853540138571698,0.018181818181382224,0.009656928059481732,0.018145641697622887,0.163391320053457,0.16497034321261167,0.0015790231591546744
161077,-1,70826,65873,0.995638651079585,0.01818181818220904,0.000897235366375291,0.009416390781880375,0.3284766695357252,0.3269876536307011,0.0014890159050240936
161077,-1,70827,65874,0.994233477756149,0.0,0.004273377531219914,0.004248577919992304,0.43399745402368556,0.4398952574588841,0.005897803435198523
161077,-1,70828,65875,0.9861920546953272,0.018181818181382224,0.01741433891186719,0.019020071194966553,0.7738257910860161,0.7726955008413697,0.0011302902446463925
161077,1,70829,65876,0.9947725252135649,0.01818181818220904,0.008353853956409824,0.001185287337647941,0.800353193411086,0.7990075545789955,0.00134563883209049
161077,1,70830,65877,0.9510652667206178,0.036363636363591266,0.02620474290365111,0.06284537390454456,0.5634929374132478,0.5567257868370931,0.006767150576154735
161077,1,70831,65878,0.9952817223515539,0.0,0.030279532692547854,0.01659312485819213,0.5045630370117453,0.5063672438298604,0.001804206818115106
161077,1,70832,65879,0.9847217800339538,0.018181818181382224,0.009656928059481732,0.019300358971198774,0.2377306372143017,0.23937320907302578,0.0016425718587240734
161092,-1,70833,65880,0.9956215630420823,0.01834862385360907,0.0003501005325433352,0.010101547868042016,0.29623751525863684,0.288318486703273,0.00791902855536386
161092,-1,70834,65881,0.9934660950462625,0.0,0.00428828204490765,0.005463851061277751,0.40297685134374295,0.4010093421093429,0.0019675092344000333
161092,-1,70835,65882,0.982347579158179,0.01834862385277467,0.022444995634321282,0.02388388035521436,0.739016118426368,0.737514985465259,0.0015011329611090973
161092,1,70836,65883,0.9456924050687666,0.05504587155999281,0.03144692669392821,0.0688538844811565,0.5869087524403538,0.5734080563609043,0.013500696079449481
161092,1,70837,65884,0.9966046842731738,0.0,0.0211751455326743,0.013534939424043536,0.5216225620333851,0.5236598071456453,0.002037245112260222
161092,1,70838,65885,0.9566061117011355,0.01834862385360907,0.02365736655611336,0.05633736154860268,0.23060929119093007,0.23186937025093124,0.001260079060001168
161107,-1,70839,65886,0.9954268048139205,0.018518518518923985,0.00018538250211957383,0.010836026125684727,0.3164836870737228,0.3015100731179031,0.014973613955819698
161107,-1,70840,65887,0.9926943346403619,0.0,0.004323058250419498,0.0066904791790678006,0.44582854571113484,0.4358424437741953,0.009986101936939551
161107,-1,70841,65888,0.97667414730466,0.01851851851808186,0.028070098626275908,0.029688042561956514,0.7968168691758803,0.7961899625171376,0.0006269066587427652
161107,1,70842,65889,0.9823244720408703,0.0,0.011702774114147912,0.02148481398762814,0.8873517272320283,0.887266023990676,8.570324135226404e-05
161107,1,70843,65890,0.922611288301729,0.31481481481497076,0.05883081300318997,0.09404867625007306,0.43376606980906346,0.40690120112989997,0.02686486867916349
161107,1,70844,65891,0.9940678738043734,0.0,0.06198561589170128,0.008458579161554753,0.4445409093069337,0.4452729522763371,0.0007320429694034347
161107,1,70845,65892,0.9540582958699931,0.018518518518923985,0.024618867964651726,0.06103261941327495,0.11054781531777057,0.11114504963948131,0.0005972343217107434
161122,-1,70846,65893,0.9957674825234257,0.0,0.001091480973352791,0.009316676180286743,0.22473776318420705,0.21264696036596395,0.012090802818243096
161122,-1,70847,65894,0.9939709603108489,0.0,0.0047091193827532825,0.004565854944198597,0.3441248351270477,0.33521592799776123,0.008908907129286492
161122,-1,70848,65895,0.9865078178118973,0.0,0.012315858622346826,0.017363045514489608,0.7390692833769401,0.7404257936840198,0.001356510307079728
161122,1,70849,65896,0.9953373999007162,0.0,0.030228176809638806,0.018347711557849634,0.48109344025740775,0.4816849752649051,0.000591535007497368
161122,1,70850,65897,0.9566106951652407,0.0,0.02363800252271382,0.057934293607013826,0.12477940883290556,0.12621915082173926,0.0014397419888337037
161137,-1,70851,65899,0.9957674825234257,0.0,0.0010914809733532592,0.00931667618029074,0.15560746587430974,0.13849555663254834,0.017111909241761397
161137,-1,70852,65900,0.9939709603108489,0.0,0.004709119382755303,0.004565854944200556,0.2517582984848377,0.2325242634965782,0.019234034988259513
161137,-1,70853,65901,0.9865078178118973,0.0,0.012315858622352108,0.017363045514497057,0.6334588125105287,0.6275867382356107,0.005872074274917982
161137,-1,70854,65902,0.9920784289201691,0.01886792452785669,0.0034738870848708965,0.014699114876320104,0.8882947179660768,0.8857857808819303,0.0025089370841465675
161137,1,70855,65903,0.9528593985872551,0.1320754716984289,0.046579696003874176,0.057605597397205936,0.763123144084262,0.7608388918749767,0.002284252209285298
161137,1,70856,65904,0.993259921610021,0.0,0.05105766304470296,0.018479593110794522,0.5903321466998005,0.5907703264441877,0.00043817974438720153
161137,1,70857,65905,0.9566106951652407,0.0,0.02363800252272396,0.05793429360703868,0.1799372843491533,0.16772700866435278,0.012210275684800515
161152,-1,70858,65907,0.9957674825234257,0.0,0.0010914809733532592,0.00931667618029074,0.13198510691051432,0.1310533061773484,0.0009318007331659273
161152,-1,70859,65908,0.9939709603108489,0.0,0.004709119382755303,0.004565854944200556,0.20808025425286017,0.21190393469589447,0.0038236804430342997
161152,-1,70860,65909,0.9865496983945402,0.0,0.012271734483463538,0.01730809486994251,0.5551683693085885,0.5566958699195758,0.0015275006109872757
161152,-1,70861,65910,0.9919962088293228,0.037735849056571395,0.0034876561971514345,0.01570347664264339,0.7904616772843751,0.7881878119060709,0.0022738653783042073
161152,1,70862,65911,0.9521558137579509,0.15094339622628558,0.050784314421523244,0.05974402364236907,0.784442857276069,0.785631905013595,0.0011890477375260389
161152,1,70863,65912,0.986374929370496,0.0,0.1329525379436093,0.016901732361767893,0.699157413071924,0.6982843851902703,0.0008730278816537762
161152,1,70864,65913,0.9566106951652407,0.0,0.02363800252272396,0.05793429360703868,0.27996896016145834,0.2818457660114338,0.0018768058499754603
161167,-1,70865,65915,0.9957546119388005,0.0,0.001040861895779475,0.009409158681335019,0.19052481510300215,0.18422513909042426,0.006299676012577887
161167,-1,70866,65916,0.9938929158802821,0.0,0.004717796779397631,0.004686849844615974,0.28796957391555533,0.28596477285913474,0.002004801056420591
161167,-1,70867,65917,0.3998373700349456,0.0,1.738525490964947,1.5045898306380374,0.6418986053463299,0.7225713703310217,0.08067276498469178
161167,-1,70868,65918,0.9924755023111489,0.03777148253066419,0.0026559650325555916,0.016612122148757125,0.8418574267835345,0.8397288021876077,0.0021286245959267758
161167,1,70869,65919,0.9517036216377314,0.15108593012265675,0.051508304493538146,0.06022309523727768,0.6897293240832923,0.6764185830882926,0.013310740994999737
161167,1,70870,65920,0.38087494196128385,0.0,6.56787454808427,0.6963866100098414,0.6354750256437303,0.5055671622268156,0.12990786341691463
161167,1,70871,65921,0.9614335190100383,0.0,0.022964580674633635,0.0507577792001107,0.2186356835858956,0.21972670195961577,0.001091018373720165
161182,-1,70872,65923,0.995561775538581,0.01917545541661887,0.0002975400711667084,0.010800269339560789,0.28262340233025235,0.2678981371743149,0.014725265155937473
161182,-1,70873,65924,0.9926038226414179,0.0,0.004909855724012132,0.006669681415057768,0.40558565173601835,0.3950986541145888,0.010486997621429572
161182,1,70874,65926,0.9924260355039667,0.01917545541749087,0.0022778030511807555,0.01737836107341908,0.8535815627447162,0.8544858745835455,0.0009043118388293303
161182,1,70875,65927,0.9437280746280103,0.057526366251600604,0.047292359700795567,0.07940331830324547,0.6170027347193598,0.6001278126931878,0.016874922026172023
161182,1,70876,65928,0.9822233970154419,0.01917545541661887,0.06257929313963075,0.01776157638609963,0.3666605164692106,0.36626300530788486,0.0003975111613257476
161182,1,70877,65929,0.9551059430708724,0.0,0.025527248673915103,0.06186319087901417,0.133845913937365,0.13493416058880664,0.0010882466514416378
161197,-1,70878,65931,0.9955158827860331,0.019230769230315158,0.0001626851441799899,0.011083353011215285,0.2700480565092841,0.250041224541987,0.02000683196729708
161197,-1,70879,65932,0.9923583853143878,0.0,0.004955287128128788,0.007045987867444044,0.39597011530827037,0.37780646960647357,0.018163645701796793
161197,1,70880,65933,0.9958715881922087,0.01923076923118967,0.000640234039705202,0.010927657252488605,0.8549538498833605,0.8553066310491084,0.0003527811657478841
161197,1,70881,65934,0.9457493955224493,0.0576923076926945,0.050312280628673565,0.07547755897996311,0.5773661069015235,0.5675311486167706,0.009834958284752893
161197,1,70882,65935,0.9300942309564196,0.019230769230315158,0.05338011421564937,0.10160830754645345,0.2800709673711799,0.2842974412396152,0.0042264738684352765
161197,1,70884,65936,0.9535903639932359,0.0,0.02609319138330809,0.06450806124751175,0.1200021914602428,0.11132591215334077,0.008676279306902027
161212,-1,70885,65938,0.9959528952479821,0.019493177387456317,0.0015969882400681784,0.008704779381491773,0.33371076690680307,0.31086891317385357,0.022841853732949502
161212,-1,70886,65939,0.9942902903825411,0.0,0.004990208423928706,0.004109928596951357,0.48291748721912764,0.46416151291904884,0.018755974300078804
161212,1,70887,65940,0.9961723567570758,0.019493177388342765,0.0008866023043857625,0.0094139564870232,0.7942799245375793,0.794721526150284,0.00044160161270467846
161212,1,70888,65941,0.9637817387632848,0.019493177387456317,0.032643594938788684,0.053052512449241356,0.41600573043944594,0.41228728286098465,0.0037184475784612925
161212,1,70889,65942,0.9742614362281944,0.019493177388342765,0.03081285267151201,0.02489208395008457,0.17692091170304677,0.1714967076009003,0.005424204102146474
161212,1,70891,65943,0.9674255728990249,0.0,0.022548913001619642,0.04275519447643656,0.057005880815283676,0.05237453993499333,0.004631340880290345
161212,1,70892,65944,0.9886219050441755,0.019493177388342765,0.02095176854918808,0.007972373150126742,0.03838147867939102,0.02140824317833488,0.01697323550105614
161227,-1,70893,65945,0.9958409377116568,0.01960784313679159,0.00135275487153589,0.009298528340307468,0.2624006316656896,0.23156464857343917,0.03083598309225044
161227,-1,70894,65946,0.9937886699138371,0.0,0.005106234352841184,0.0048566448729652776,0.41696394721955415,0.38317401082825325,0.0337899363913009
161227,1,70895,65947,0.9938988186574683,0.01960784313768325,0.0010660180569353804,0.015022098881779985,0.7922013624687166,0.79313591476597,0.000934552297253366
161227,1,70896,65948,0.9650402343291857,0.01960784313679159,0.03617683037369852,0.04937660268671481,0.374919189087888,0.3715651107756636,0.0033540783122243956
161227,1,70897,65949,0.9697943753789698,0.01960784313679159,0.034343254865056766,0.030445684752504337,0.13715383473652937,0.1401972820940484,0.003043447357519019
161227,1,70899,65950,0.9759666484294673,0.0,0.024843212052955914,0.025853222263429555,0.03946070183602497,0.036150323948643544,0.0033103778873814285
161227,1,70900,65951,0.9899443296904347,0.01960784313768325,0.021248335599689666,0.004464450768293897,0.01502941646542555,0.011151785266920186,0.0038776311985053644
161242,-1,70901,65952,0.9958409377116568,0.01960784313679159,0.00135275487153589,0.009298528340307468,0.16669214366332794,0.1659161091109343,0.0007760345523936396
161242,-1,70902,65953,0.9937886699138371,0.0,0.005106234352841184,0.0048566448729652776,0.2952793031374556,0.2992493089527648,0.003970005815309208
161242,1,70903,65954,0.9898875579930169,0.01960784313679159,0.004535672281003996,0.019234899330103323,0.8289875029664984,0.8268664114742486,0.002121091492249816
161242,1,70904,65955,0.9650181796936604,0.01960784313679159,0.03620598094148298,0.04940338063783753,0.41585111290033816,0.3810496485103198,0.034801464390018355
161242,1,70905,65956,0.993086002957651,0.01960784313768325,0.005280768136442881,0.004091750052597849,0.11159613022599872,0.11038564754824395,0.0012104826777547678
161242,1,70906,65957,0.9904086668429815,0.0,0.017812055008179214,0.0028537716683358643,0.14988932589455548,0.17989323244148964,0.03000390654693416
