scenario,target_r,left_out_year,N,mean_net_R,sum_net_R,pf_net
S18_C9_STRESS,1.0,2021,469,-0.12299411501548606,-57.68423994226296,0.7611566784340734
S18_C9_STRESS,1.0,2022,478,-0.1462146554391172,-69.89060529989803,0.7239444560665185
S18_C9_STRESS,1.0,2023,461,-0.1252549930494776,-57.74255179580918,0.7577253345276626
S18_C9_STRESS,1.0,2024,480,-0.12155430307584716,-58.346065476406636,0.7640998501771693
S18_C9_STRESS,1.0,2025,482,-0.125843865504664,-60.656743173248046,0.7569562438102239
S11_C6_PRIMARY,1.5,2011,464,-0.04796319547528132,-22.254922700530532,0.9132399289292236
S11_C6_PRIMARY,1.5,2012,470,-0.10502164773782892,-49.360174436779594,0.8170692049925249
S11_C6_PRIMARY,1.5,2013,473,-0.05634435971424898,-26.65088214483977,0.8988161494770927
S11_C6_PRIMARY,1.5,2014,476,-0.0722070899242383,-34.37057480393743,0.8724035293700041
S11_C6_PRIMARY,1.5,2015,457,-0.07201936372053702,-32.912849220285416,0.8737178585033303
S11_C6_PRIMARY,1.5,2016,449,-0.0662985310048928,-29.76804042119687,0.8822331225546327
S11_C6_PRIMARY,1.5,2017,455,-0.05566623952429978,-25.3281389835564,0.9003099854977793
S11_C6_PRIMARY,1.5,2018,441,-0.07095258931762848,-31.290091889074155,0.8743796013187632
S11_C6_PRIMARY,1.5,2019,446,-0.06359606518458874,-28.363845072326576,0.8877949053028759
S11_C6_PRIMARY,1.5,2020,471,-0.06878611792896071,-32.398261544540496,0.8786801278056734
S11_C6_PRIMARY,1.5,2021,469,-0.06790729773916471,-31.848522639668246,0.8788060930303802
S11_C6_PRIMARY,1.5,2022,478,-0.08625873498773053,-41.23167532413519,0.8491083785049783
S11_C6_PRIMARY,1.5,2023,461,-0.05800651190204044,-26.741001986840644,0.8957323863611082
S11_C6_PRIMARY,1.5,2024,480,-0.047998661010796,-23.03935728518208,0.9132125267719032
S11_C6_PRIMARY,1.5,2025,482,-0.06804073397484771,-32.795633775876595,0.8788614697449295
S18_C9_STRESS,1.5,2011,464,-0.0623710030241655,-28.940145403212792,0.8869993084607706
S18_C9_STRESS,1.5,2012,470,-0.12493441553442351,-58.71917530117905,0.7830921408376555
S18_C9_STRESS,1.5,2013,473,-0.07076477177350678,-33.471737048868704,0.8727864190538721
S18_C9_STRESS,1.5,2014,476,-0.09157703426749045,-43.59066831132545,0.8387132364689537
S18_C9_STRESS,1.5,2015,457,-0.08485221373147177,-38.777461675282595,0.8509204648289256
S18_C9_STRESS,1.5,2016,449,-0.0998971284012073,-44.85381065214208,0.8251687108892602
S18_C9_STRESS,1.5,2017,455,-0.0788894292995186,-35.89469033128096,0.8601323997212997
S18_C9_STRESS,1.5,2018,441,-0.0889746428448588,-39.23781749458273,0.8428819079055467
S18_C9_STRESS,1.5,2019,446,-0.08616018946373223,-38.42744450082458,0.8489718392948588
S18_C9_STRESS,1.5,2020,471,-0.08839588142006385,-41.634460148850074,0.8445645859405736
S18_C9_STRESS,1.5,2021,469,-0.08056812407800444,-37.786450192584084,0.8560722119093129
S18_C9_STRESS,1.5,2022,478,-0.11097731240294137,-53.047155328605974,0.8072769860090399
S18_C9_STRESS,1.5,2023,461,-0.07676826426084044,-35.390169824247444,0.8624576933769244
S18_C9_STRESS,1.5,2024,480,-0.06787179678665266,-32.578462457593275,0.8776786953256681
S18_C9_STRESS,1.5,2025,482,-0.08794427417932467,-42.38914015443449,0.8439577344493024
S11_C6_PRIMARY,2.0,2011,464,-0.022351045304597725,-10.370885021333345,0.9614048316860122
S11_C6_PRIMARY,2.0,2012,470,-0.08290832816929605,-38.96691423956914,0.8618622973568402
S11_C6_PRIMARY,2.0,2013,473,-0.030934344719074483,-14.63194505212223,0.947110812358831
S11_C6_PRIMARY,2.0,2014,476,-0.054591367964138666,-25.985491150930006,0.9083871799115681
S11_C6_PRIMARY,2.0,2015,457,-0.05413713364026408,-24.740670073600686,0.9096625121912663
S11_C6_PRIMARY,2.0,2016,449,-0.04370493318275196,-19.62351499905563,0.9260765780937366
S11_C6_PRIMARY,2.0,2017,455,-0.03311086926196767,-15.065445514195291,0.9436327019076871
S11_C6_PRIMARY,2.0,2018,441,-0.049637443664759175,-21.890112656158795,0.9165686857369358
S11_C6_PRIMARY,2.0,2019,446,-0.04627287473087657,-20.63770212997095,0.9224252061704349
S11_C6_PRIMARY,2.0,2020,471,-0.055231897803276475,-26.01422386534322,0.9075432900175876
S11_C6_PRIMARY,2.0,2021,469,-0.04099763487653199,-19.227890757093505,0.9300840071168308
S11_C6_PRIMARY,2.0,2022,478,-0.07226060160885026,-34.54056756903042,0.8798889097754033
S11_C6_PRIMARY,2.0,2023,461,-0.03972243355560635,-18.312041869134525,0.9321174803802682
S11_C6_PRIMARY,2.0,2024,480,-0.030531915845801578,-14.655319605984758,0.9476197191337681
S11_C6_PRIMARY,2.0,2025,482,-0.05252016642424264,-25.314720216484954,0.911190944634813
S18_C9_STRESS,2.0,2011,464,-0.053441466239408174,-24.796840335085392,0.9079796161218262
S18_C9_STRESS,2.0,2012,470,-0.09467210010202226,-44.49588704795046,0.8415273309846583
S18_C9_STRESS,2.0,2013,473,-0.061605796614418284,-29.13954179861985,0.8950102967203877
S18_C9_STRESS,2.0,2014,476,-0.07857089116718367,-37.39974419557943,0.8680969226927022
