scenario,target_r,year,N,mean_net_R,sum_net_R,pf_net,abs_annual_contribution_share
S18_C9_STRESS,1.5,2019,52,-0.09169583216136025,-4.768183272390733,0.8226800151218562,0.048629016663119994
S18_C9_STRESS,1.5,2020,27,-0.05782102312463822,-1.561167624365232,0.8841196215047616,0.01592179706236744
S18_C9_STRESS,1.5,2021,29,-0.18652336484935242,-5.40917758063122,0.7121499753772068,0.05516629115860365
S18_C9_STRESS,1.5,2022,20,0.4925763777695333,9.851527555390666,2.62072877072477,0.10047224913149702
S18_C9_STRESS,1.5,2023,37,-0.21095832294507727,-7.805457948967859,0.67511542955163,0.07960510806316508
S18_C9_STRESS,1.5,2024,18,-0.5898425175345571,-10.617165315622028,0.29190886864165155,0.10828071815905956
S18_C9_STRESS,1.5,2025,16,-0.05040547617380052,-0.8064876187808083,0.9166641017326161,0.00822508230322865
S11_C6_PRIMARY,2.0,2011,34,-0.38820389584315257,-13.198932458667187,0.4905546879039239,0.14368971678082243
S11_C6_PRIMARY,2.0,2012,28,0.5498963128417361,15.397096759568612,2.228780605699382,0.16761995559546478
S11_C6_PRIMARY,2.0,2013,25,-0.35751489711513224,-8.937872427878306,0.5024838847430348,0.09730183572093531
S11_C6_PRIMARY,2.0,2014,22,0.10980334867861231,2.415673670929471,1.2201440839674318,0.026298146967394666
S11_C6_PRIMARY,2.0,2015,41,0.028557380331711,1.170852593600151,1.0564307370650918,0.012746445827595801
S11_C6_PRIMARY,2.0,2016,49,-0.08053678532540623,-3.9463024809449054,0.864669636951064,0.042961283997333954
S11_C6_PRIMARY,2.0,2017,43,-0.19777609222802878,-8.504371965805237,0.6889977842683235,0.09258254809561438
S11_C6_PRIMARY,2.0,2018,57,-0.02946850568143394,-1.6797048238417345,0.9479080368885799,0.018286047842809555
S11_C6_PRIMARY,2.0,2019,52,-0.056386833654415075,-2.932115350029584,0.8974127253065185,0.031920371252282094
S11_C6_PRIMARY,2.0,2020,27,0.0905335698275071,2.444406385342692,1.1844651359669145,0.026610944658367674
S11_C6_PRIMARY,2.0,2021,29,-0.1497216111347251,-4.3419267229070275,0.7785144023572258,0.047268233476557626
S11_C6_PRIMARY,2.0,2022,20,0.5485375044514944,10.970750089029888,2.5570163190007316,0.11943268731030907
S11_C6_PRIMARY,2.0,2023,37,-0.14210204353691921,-5.257775610866011,0.788479629108456,0.05723859037753884
S11_C6_PRIMARY,2.0,2024,18,-0.4952498818897653,-8.914497874015776,0.3989236147416739,0.09704736945747781
S11_C6_PRIMARY,2.0,2025,16,0.1090564210302764,1.7449027364844223,1.182306847695197,0.018995822639495993
S18_C9_STRESS,2.0,2011,34,-0.4045730108824295,-13.755482370002602,0.4767831310456486,0.16555751294393714
S18_C9_STRESS,2.0,2012,28,0.21227015510223116,5.943564342862472,1.396718572759103,0.07153523985261673
S18_C9_STRESS,2.0,2013,25,-0.37651123625872573,-9.412780906468143,0.4832321085627558,0.11328985453534113
S18_C9_STRESS,2.0,2014,22,-0.05238993225038926,-1.1525785095085637,0.9056948028424487,0.013872143947710334
S18_C9_STRESS,2.0,2015,41,-0.0724894754073492,-2.972068491701317,0.8599180227241376,0.03577106600479148
S18_C9_STRESS,2.0,2016,49,0.008027391734303493,0.3933421949808712,1.01484019857042,0.004734167351263152
S18_C9_STRESS,2.0,2017,43,-0.04188226609149695,-1.8009374419343689,0.9270753447810601,0.02167562836651097
S18_C9_STRESS,2.0,2018,57,-0.06722438290662498,-3.8317898256776237,0.8813852805216797,0.04611845492576133
S18_C9_STRESS,2.0,2019,52,-0.14938813985366609,-7.768183272390636,0.7422209589923277,0.09349589262491602
S18_C9_STRESS,2.0,2020,27,0.0718086065049894,1.9388323756347137,1.1439132006204165,0.023335296974046255
S18_C9_STRESS,2.0,2021,29,-0.17940100803509967,-5.20262923301789,0.7380270939569106,0.06261753193521066
S18_C9_STRESS,2.0,2022,20,0.6200185454959344,12.400370909918687,3.040052955073598,0.14924773353681348
S18_C9_STRESS,2.0,2023,37,-0.156904268891013,-5.805457948967481,0.7688346812584879,0.06987302616356626
S18_C9_STRESS,2.0,2024,18,-0.5065091842012343,-9.117165315622216,0.3919484428088324,0.10973189991830538
S18_C9_STRESS,2.0,2025,16,0.09941504917538198,1.5906407868061117,1.1643639352946509,0.019144550919209774
S11_C6_PRIMARY,2.5,2011,34,-0.3101147115338463,-10.543900192150774,0.5930321985568718,0.1414666744916927
S11_C6_PRIMARY,2.5,2012,28,0.15205516686334905,4.257544672173774,1.2536391197884065,0.057123139947836396
