scenario,target_r,transition,from_session,to_session,trades,mean_net_R,sum_net_R,pf_net,tp_pct,positive_years,active_years
S10_C6,1.0,doz_origin_to_contact,ASIA_CME,TRANSITION,1,-0.1608391608391854,-0.1608391608391854,0.0,0.0,0,1
S10_C6,1.0,doz_origin_to_contact,LONDON,ASIA_CME,18,0.27666243035299865,4.979923746353975,1.9325272851646151,55.55555555555556,7,10
S10_C6,1.0,doz_origin_to_contact,LONDON,LONDON,21,0.34049494611706177,7.1503938684582975,2.1456526367004813,61.904761904761905,7,11
S10_C6,1.0,doz_origin_to_contact,LONDON,NY_AM,41,0.4688687448801573,19.22361854008645,2.8514655558735873,75.60975609756098,11,14
S10_C6,1.0,doz_origin_to_contact,LONDON,NY_PM,22,0.17699809917518336,3.8939581818540336,1.448084681072178,59.09090909090909,6,14
S10_C6,1.0,doz_origin_to_contact,LONDON,TRANSITION,2,-0.4070064371080552,-0.8140128742161103,0.20440933777005338,0.0,1,2
S10_C6,1.0,doz_origin_to_contact,NY_AM,ASIA_CME,21,0.2888679496096824,6.06622694180333,1.9564095700909794,61.904761904761905,5,10
S10_C6,1.0,doz_origin_to_contact,NY_AM,LONDON,11,0.2223759658153674,2.4461356239690413,1.5898613903763554,63.63636363636363,5,9
S10_C6,1.0,doz_origin_to_contact,NY_AM,NY_AM,19,0.2286097824397899,4.343585866356008,1.5966409207710424,63.1578947368421,5,11
S10_C6,1.0,doz_origin_to_contact,NY_AM,NY_PM,6,0.1671369425871205,1.002821655522723,1.4886194544226068,50.0,4,6
