scenario,target_r,left_out_year,trades,mean_net_R,sum_net_R,pf_net
S11_C6_PRIMARY,2.5,2019,283,0.30091205863900317,85.15811259483789,1.5960330983630235
S11_C6_PRIMARY,2.5,2020,289,0.2780756318334014,80.363857599853,1.5326259089555345
S11_C6_PRIMARY,2.5,2021,286,0.29524895326261386,84.44120063310757,1.577989186135365
S11_C6_PRIMARY,2.5,2022,287,0.2958595575738487,84.91169302369457,1.5850966660887815
S11_C6_PRIMARY,2.5,2023,287,0.2643454456200802,75.86714289296302,1.5106600919588995
S11_C6_PRIMARY,2.5,2024,287,0.26279171584036165,75.42122244618379,1.5116183668761847
S11_C6_PRIMARY,2.5,2025,287,0.2665756578722357,76.50721380933165,1.5160051929301694
S11_C6_PRIMARY,3.0,2011,288,0.3165708790884828,91.17241317748305,1.602458903442937
S11_C6_PRIMARY,3.0,2012,290,0.26716255558430413,77.47714111944819,1.4975923028707518
S11_C6_PRIMARY,3.0,2013,287,0.26988846063340105,77.4579882017861,1.5020524955522327
S11_C6_PRIMARY,3.0,2014,281,0.2502525147038687,70.32095663178711,1.4564396956177064
S11_C6_PRIMARY,3.0,2015,277,0.3364624425362353,93.20009658253718,1.6419365107668231
S11_C6_PRIMARY,3.0,2016,282,0.30294690469813707,85.43102712487465,1.5728503092810742
S11_C6_PRIMARY,3.0,2017,277,0.3278700576195499,90.82000596061532,1.6115908930401435
S11_C6_PRIMARY,3.0,2018,268,0.328684851810611,88.08754028524375,1.6180264077076176
S11_C6_PRIMARY,3.0,2019,283,0.34210794714758724,96.81654904276719,1.6631204903437857
S11_C6_PRIMARY,3.0,2020,289,0.3201376856741682,92.51979115983461,1.600742734743447
S11_C6_PRIMARY,3.0,2021,286,0.34166890613042683,97.71730715330207,1.6548477454089336
S11_C6_PRIMARY,3.0,2022,287,0.3364725664936447,96.56762658367603,1.6513799107806917
S11_C6_PRIMARY,3.0,2023,287,0.3053409343621173,87.63284816192765,1.5776969698648202
S11_C6_PRIMARY,3.0,2024,287,0.29817824392392156,85.5771560061655,1.56845431250436
S11_C6_PRIMARY,3.0,2025,287,0.3054465065132868,87.66314736931331,1.5790361734247915
S12_C6,0.5,2011,288,0.11189386368772225,32.22543274206401,1.4760550485867336
S12_C6,0.5,2012,290,0.09915442596702949,28.75478353043855,1.406255439761896
S12_C6,0.5,2013,287,0.1084214478545056,31.116955534243104,1.4555054806619505
S12_C6,0.5,2014,281,0.10411996289028112,29.257709572168995,1.4292341038642673
S12_C6,0.5,2015,277,0.1306144455944322,36.18020142965772,1.5858136226194297
S12_C6,0.5,2016,282,0.12150247616727303,34.263698279170995,1.5313270273378194
S12_C6,0.5,2017,277,0.11639293307513583,32.240842461812626,1.4954403137922767
S12_C6,0.5,2018,268,0.11070284916853859,29.668363577168343,1.46788094198102
S12_C6,0.5,2019,283,0.1286901115735352,36.419301575310456,1.5741610044724368
S12_C6,0.5,2020,289,0.11271921517338837,32.57585318510924,1.478593618027791
S12_C6,0.5,2021,286,0.1200832377631019,34.34380600024714,1.5233309794286907
S12_C6,0.5,2022,287,0.12668584062758434,36.3588362601167,1.5627378235282356
S12_C6,0.5,2023,287,0.1251326854524777,35.913080724861096,1.5515655393611751
S12_C6,0.5,2024,287,0.110738895238924,31.782062933571186,1.4695210025595462
S12_C6,0.5,2025,287,0.11521267014035046,33.06603633028058,1.4956995299938354
S12_C6,1.0,2011,288,0.23010141104300422,66.26920638038521,1.6579047484334726
S12_C6,1.0,2012,290,0.21882229775217504,63.45846634813076,1.6173827366541582
S12_C6,1.0,2013,287,0.23630884443182987,67.82063835193517,1.6829611537239735
