scenario,target_r,year,trades,mean_net_R,sum_net_R,pf_net,abs_annual_contribution_share
S11_C6_PRIMARY,0.5,2025,17,0.13124762330519169,2.2312095961882585,1.547620438492805,0.05055356811222699
S11_C6_PRIMARY,1.0,2011,16,0.42089074032245893,6.734251845159343,2.6358486636341247,0.08266765303266312
S11_C6_PRIMARY,1.0,2012,14,0.6813252521553721,9.538553530175209,5.634454790593149,0.11709241825174872
S11_C6_PRIMARY,1.0,2013,17,0.30460815917921813,5.178338706046708,1.9346209839833803,0.06356773065218649
S11_C6_PRIMARY,1.0,2014,23,0.4584873003043117,10.545207906999169,3.2521164822227413,0.1294498050350946
S11_C6_PRIMARY,1.0,2015,27,0.038148989639814106,1.0300227202749808,1.0838248227673066,0.012644249548917358
S11_C6_PRIMARY,1.0,2016,22,0.20619073467160043,4.53619616277521,1.540641978382008,0.055684981657160744
S11_C6_PRIMARY,1.0,2017,27,0.13149624999761914,3.550398749935717,1.3942628683169147,0.04358362869934247
S11_C6_PRIMARY,1.0,2018,36,0.28561470167601255,10.282129260336452,1.936911245219877,0.1262203305837866
S11_C6_PRIMARY,1.0,2019,21,0.12888049961922357,2.7064904920036947,1.3162196125066996,0.03322406439105623
S11_C6_PRIMARY,1.0,2020,15,0.41514138376684273,6.227120756502641,2.667712599125026,0.0764422641040795
S11_C6_PRIMARY,1.0,2021,18,0.1917387204405794,3.4512969679304293,1.4784742040095527,0.04236708498845935
S11_C6_PRIMARY,1.0,2022,17,-0.0921293737654064,-1.5661993540119088,0.8309787304577623,0.019226192865136906
S11_C6_PRIMARY,1.0,2023,17,0.28651253199600896,4.870713043932152,1.858851088053763,0.059791410418794995
S11_C6_PRIMARY,1.0,2024,17,0.14786016776285682,2.513622851968566,1.3479331524495168,0.030856479169378885
S11_C6_PRIMARY,1.0,2025,17,0.5136005644816639,8.731209596188286,3.1429581675363965,0.10718170660219398
S11_C6_PRIMARY,1.5,2011,16,0.452140740322472,7.234251845159552,2.170970582681904,0.0803367565038984
S11_C6_PRIMARY,1.5,2012,14,1.1098966807268074,15.538553530175303,8.549648237439438,0.1725564741310098
S11_C6_PRIMARY,1.5,2013,17,0.4192439684288447,7.12714746329036,2.085867860260476,0.0791473565727247
S11_C6_PRIMARY,1.5,2014,23,0.597886254801875,13.751383860443125,3.4002305228483256,0.1527098586604006
S11_C6_PRIMARY,1.5,2015,27,0.03319349139543971,0.8962242676768721,1.0662533361470543,0.00995261877887438
S11_C6_PRIMARY,1.5,2016,22,0.28448107193764116,6.2585835826281055,1.6628982399818804,0.06950190788192016
S11_C6_PRIMARY,1.5,2017,27,0.20683641638300904,5.584583242341244,1.546643407519157,0.06201709778958146
S11_C6_PRIMARY,1.5,2018,36,0.2791705978890462,10.050141524005664,1.663971999265988,0.1116073631005798
S11_C6_PRIMARY,1.5,2019,21,-0.11479925445660688,-2.4107843435887446,0.8108589228488522,0.02677189002258573
S11_C6_PRIMARY,1.5,2020,15,0.3063851792858525,4.595777689287788,1.7892166655284922,0.05103635884855193
S11_C6_PRIMARY,1.5,2021,18,0.034643706796317245,0.6235867223337104,1.0604262592609508,0.006924964148809298
S11_C6_PRIMARY,1.5,2022,17,-0.003894079647756585,-0.06619935401186194,0.9935791369829262,0.0007351473929573949
S11_C6_PRIMARY,1.5,2023,17,0.21070536211957427,3.5819911560327626,1.4419549743429743,0.03977820477647123
S11_C6_PRIMARY,1.5,2024,17,0.27051012804387614,4.598672176745894,1.5579601905053442,0.05106850228772196
S11_C6_PRIMARY,1.5,2025,17,0.4547770350698982,7.731209596188269,2.085390383636941,0.08585549910391337
S11_C6_PRIMARY,2.0,2011,16,0.5950070522979714,9.520112836767542,2.482220338525832,0.08329669839911175
S11_C6_PRIMARY,2.0,2012,14,0.8841450972112443,12.37803136095742,3.407175870899412,0.10830219795992455
S11_C6_PRIMARY,2.0,2013,17,0.5716376459485574,9.717839981125476,2.4805769294110824,0.08502672183384372
S11_C6_PRIMARY,2.0,2014,23,0.6929304581652039,15.93740053779969,3.3499113896180206,0.13944507471969128
S11_C6_PRIMARY,2.0,2015,27,0.07048932760432249,1.903211845316707,1.1301566558800111,0.016652246227240132
S11_C6_PRIMARY,2.0,2016,22,0.26112732081985945,5.7448010580369075,1.5409825108441753,0.050264421157499226
S11_C6_PRIMARY,2.0,2017,27,0.36844911043649703,9.94812598178542,1.9737660357325455,0.08704162059307126
S11_C6_PRIMARY,2.0,2018,36,0.3562203970498675,12.823934293795231,1.7901306732337527,0.112203647737749
S11_C6_PRIMARY,2.0,2019,21,-0.2922960939003909,-6.138217971908209,0.586505891624713,0.05370664191493448
S11_C6_PRIMARY,2.0,2020,15,-0.02293086512820454,-0.3439629769230681,0.9496923586688858,0.0030095210887174347
S11_C6_PRIMARY,2.0,2021,18,-0.24562811167653928,-4.421306010177707,0.6196654709110724,0.03868443573878882
S11_C6_PRIMARY,2.0,2022,17,-0.1406940235743816,-2.391798400764487,0.7932297083355412,0.02092715847342871
S11_C6_PRIMARY,2.0,2023,17,0.18695050758963036,3.178158629023716,1.3472356084390105,0.027807456206181844
S11_C6_PRIMARY,2.0,2024,17,0.5058042456909448,8.598672176746062,2.04328305681167,0.07523450774375935
S11_C6_PRIMARY,2.0,2025,17,0.6615308683848631,11.246024762542673,2.5788379527861767,0.09839765020605847
S11_C6_PRIMARY,2.5,2011,16,0.5002134378392762,8.003415005428419,2.071287950211973,0.07624400259652085
S11_C6_PRIMARY,2.5,2012,14,1.1698593829255224,16.378031360957312,4.185062370199137,0.15602423025218162
S11_C6_PRIMARY,2.5,2013,17,0.7775199988897384,13.217839981125554,3.013824982785465,0.12591887652430783
S11_C6_PRIMARY,2.5,2014,23,0.8572363774946692,19.71643668237739,3.9071164405207153,0.1878273272828805
S11_C6_PRIMARY,2.5,2015,27,-0.019417348134278582,-0.5242683996255217,0.9665225600005547,0.004994408161417383
S11_C6_PRIMARY,2.5,2016,22,0.26112732081986256,5.744801058036977,1.490465804074344,0.054727466523775595
S11_C6_PRIMARY,2.5,2017,27,0.25805898191880716,6.967592511807793,1.6186200618072288,0.06637630826359177
S11_C6_PRIMARY,2.5,2018,36,0.1957563072856641,7.047227062283907,1.3847618709336684,0.0671349415306603
S11_C6_PRIMARY,2.5,2019,21,-0.1970579986622835,-4.138217971907953,0.7212336286544866,0.03942245923535361
S11_C6_PRIMARY,2.5,2020,15,0.04373580153846211,0.6560370230769317,1.0959512432184466,0.006249693219327675
S11_C6_PRIMARY,2.5,2021,18,-0.1900725561209794,-3.421306010177629,0.7056885890154152,0.03259284494763146
S11_C6_PRIMARY,2.5,2022,17,-0.22892931769203706,-3.89179840076463,0.6910129641946322,0.03707495952312552
S11_C6_PRIMARY,2.5,2023,17,0.30310304293923157,5.152751729966937,1.562973435545555,0.049087347839935784
S11_C6_PRIMARY,2.5,2024,17,0.32933365745565624,5.598672176746156,1.543423143563505,0.05333537942133155
S11_C6_PRIMARY,2.5,2025,17,0.265451812564606,4.512680813598302,1.4774689048042973,0.0429897546779584
S11_C6_PRIMARY,3.0,2011,16,0.18771343783928152,3.0034150054285043,1.3157379175955906,0.02697908569893184
S11_C6_PRIMARY,3.0,2012,14,1.1927633616759543,16.69868706346336,4.24742080567487,0.1500010183509576
S11_C6_PRIMARY,3.0,2013,17,0.9834023518309103,16.717839981125476,3.547073036159823,0.15017306523960164
S11_C6_PRIMARY,3.0,2014,23,1.037168328309758,23.854871551124432,4.5173135181555395,0.21428361473574506
S11_C6_PRIMARY,3.0,2015,27,0.03613820742127261,0.9757316003743606,1.0623058649547208,0.008764804869815209
S11_C6_PRIMARY,3.0,2016,22,0.3974909571834958,8.744801058036908,1.7465925867702414,0.07855282627890692
S11_C6_PRIMARY,3.0,2017,27,0.12428971193689758,3.3558222222962346,1.2717655061722273,0.0301446903481768
S11_C6_PRIMARY,3.0,2018,36,0.16911910826854992,6.088287897667797,1.3324060685977512,0.05468989155813125
S11_C6_PRIMARY,3.0,2019,21,-0.12574861237407856,-2.6407208598556497,0.8221108272121879,0.02372107559435929
S11_C6_PRIMARY,3.0,2020,15,0.11040246820512876,1.6560370230769315,1.2422101277680073,0.01487585454738784
S11_C6_PRIMARY,3.0,2021,18,-0.19674883168836216,-3.5414789703905187,0.695350936266074,0.03181240836528981
S11_C6_PRIMARY,3.0,2022,17,-0.1406940235743816,-2.391798400764487,0.8101045783997861,0.021485054150745565
S11_C6_PRIMARY,3.0,2023,17,0.38488117770493546,6.542980020983903,1.7148654028287271,0.05877430138474604
S11_C6_PRIMARY,3.0,2024,17,0.5058042456909448,8.598672176746062,1.8346117288608754,0.07724017930727328
S11_C6_PRIMARY,3.0,2025,17,0.3830988713881318,6.512680813598241,1.689080992840969,0.058502129569931914
S12_C6,0.5,2011,16,0.19201297208627074,3.072207553380332,1.995080034572643,0.07201720100273369
S12_C6,0.5,2012,14,0.4673469117861279,6.542856765005791,inf,0.15337447831578346
S12_C6,0.5,2013,17,0.24592263301183714,4.180684761201231,2.694617980907164,0.09800158665882351
S12_C6,0.5,2014,23,0.2626056836206672,6.039930723275346,3.3075499840129616,0.1415851297097758
S12_C6,0.5,2015,27,-0.032687449415310384,-0.8825611342133803,0.9021491923351477,0.020688570513379346
S12_C6,0.5,2016,22,0.04699736437606114,1.033942016273345,1.1642994285695634,0.024237167807624048
S12_C6,0.5,2017,27,0.1132147345789524,3.0567978336317148,1.535817019222557,0.07165597381829074
S12_C6,0.5,2018,36,0.1563687977298888,5.629276718275997,1.7638109192890994,0.13195877748364593
S12_C6,0.5,2019,21,-0.05341244189838647,-1.1216612798661159,0.847384494088147,0.026293440285380797
S12_C6,0.5,2020,15,0.18145247402234027,2.721787110335104,2.002770644485286,0.06380281475318234
S12_C6,0.5,2021,18,0.05299079417762198,0.9538342951971956,1.1850432610740824,0.02235932142180151
S12_C6,0.5,2022,17,-0.062423292039550944,-1.061195964672366,0.8279916346440737,0.02487604166164177
S12_C6,0.5,2023,17,-0.0362023782009859,-0.6154404294167604,0.8914353114266313,0.014426856369696768
S12_C6,0.5,2024,17,0.2067986683454795,3.5155773618731514,2.1378520855394494,0.0824104612437738
S12_C6,0.5,2025,17,0.1312708214802209,2.2316039651637554,1.5477333399191782,0.05231217895446651
S12_C6,1.0,2011,16,0.4207572957969475,6.73211673275116,2.6356356388329,0.08843652374288677
S12_C6,1.0,2012,14,0.6816326260718298,9.542856765005618,5.638540996107244,0.12535984035566508
S12_C6,1.0,2013,17,0.30474616242360025,5.180684761201205,1.9351817398964997,0.06805612099081186
S12_C6,1.0,2014,23,0.42903578043106594,9.867822949914517,3.1096636336448893,0.1296287621329003
S12_C6,1.0,2015,27,0.039150238658543994,1.0570564437806877,1.086103988655101,0.01388603332339716
S12_C6,1.0,2016,22,0.18406574491825778,4.049446388201671,1.483122598392141,0.053195595957735965
S12_C6,1.0,2017,27,0.057638975163848145,1.5562523294239,1.1548951966120862,0.02044372543504242
S12_C6,1.0,2018,36,0.2787475439208666,10.034911581151198,1.9157317404503087,0.13182372373118062
S12_C6,1.0,2019,21,0.1301908963441192,2.734008823226503,1.3196073926921383,0.03591533626151543
S12_C6,1.0,2020,15,0.28145247402232393,4.2217871103348585,1.8811731914355216,0.05545955170447019
S12_C6,1.0,2021,18,0.1918796830665064,3.4538342951971153,1.478905869369903,0.045371331302862375
S12_C6,1.0,2022,17,-0.09183505674544373,-1.5611959646725435,0.8314977680951725,0.02050866755256631
S12_C6,1.0,2023,17,0.2873270335637212,4.88455957058326,1.861644219735425,0.06416606924474706
S12_C6,1.0,2024,17,0.14797513893373182,2.515577361873441,1.3482355370686572,0.03304590902414053
S12_C6,1.0,2025,17,0.5136237626566936,8.731603965163792,3.1431179892798586,0.11470280924007778
S12_C6,1.5,2011,16,0.4520072957969434,7.232116732751094,2.170805740433187,0.08204646994089039
S12_C6,1.5,2012,14,1.1102040546432417,15.542856765005382,8.554989043268726,0.17632963867834026
S12_C6,1.5,2013,17,0.4185909398782948,7.116045977931012,2.084318135539204,0.08072967763121489
S12_C6,1.5,2014,23,0.5959410255972072,13.706643588735766,3.394850885998451,0.15549828117416414
S12_C6,1.5,2015,27,0.03203390205170812,0.8649153553961193,1.0639727070212313,0.009812238149663812
S12_C6,1.5,2016,22,0.17042040408396733,3.7492488898472813,1.3584214673896087,0.04253424657109425
S12_C6,1.5,2017,27,0.20584479374994277,5.5578094312484545,1.5440175601615707,0.06305189217606305
S12_C6,1.5,2018,36,0.278747543920865,10.034911581151139,1.6637693096571302,0.11384344332744416
S12_C6,1.5,2019,21,-0.15085771119864524,-3.16801193517155,0.7512815491827016,0.03594026557043135
S12_C6,1.5,2020,15,0.30540544575580264,4.58108168633704,1.786518045521223,0.05197117175566356
S12_C6,1.5,2021,18,0.034054803543516615,0.6129864637832991,1.0594081820921624,0.006954170864971306
S12_C6,1.5,2022,17,-0.003599762627804475,-0.06119596467267607,0.9940636760189878,0.0006942521894431025
S12_C6,1.5,2023,17,0.21138911601848234,3.5936149723142,1.443604304034333,0.040768620543677594
S12_C6,1.5,2024,17,0.2702087621514179,4.593548956574105,1.5573849849054442,0.052112609670806435
S12_C6,1.5,2025,17,0.4548002332449284,7.731603965163783,2.085475486349392,0.0877130217561315
S12_C6,2.0,2011,16,0.5945884362411528,9.513414979858444,2.4803638254915796,0.08843454571972921
S12_C6,2.0,2012,14,0.8839370915443651,12.37511928162111,3.407121820940897,0.11503629918537503
S12_C6,2.0,2013,17,0.5702608859181106,9.694435060607882,2.4772040235019035,0.09011726729143799
S12_C6,2.0,2014,23,0.6898968885747904,15.867628437220178,3.341710829762903,0.14750187135386614
S12_C6,2.0,2015,27,0.06842747498079677,1.8475418244815127,1.1264428828998125,0.017174329333067038
S12_C6,2.0,2016,22,0.12385567612000159,2.724824874640035,1.2327847778497267,0.025329353388323983
S12_C6,2.0,2017,27,0.3490990168193852,9.4256734541234,1.9226174338690936,0.08761892041739953
S12_C6,2.0,2018,36,0.35356635199418496,12.728388671790658,1.7853008233130077,0.11832021122983782
S12_C6,2.0,2019,21,-0.2937148540557922,-6.168011935171636,0.5841799174400932,0.05733643855919421
S12_C6,2.0,2020,15,-0.0244300240625739,-0.3664503609386085,0.9464272592147972,0.0034064393561142503
S12_C6,2.0,2021,18,-0.24717597591269724,-4.44916756642855,0.6174795141951124,0.04135845155510252
S12_C6,2.0,2022,17,-0.14095015509735104,-2.3961526366549677,0.7928899149650536,0.022274090886011844
S12_C6,2.0,2023,17,0.18731795799185463,3.1844052858615286,1.348103201910652,0.02960150854754988
S12_C6,2.0,2024,17,0.32903229156316316,5.593548956573773,1.6025996126898392,0.05199636113666382
S12_C6,2.0,2025,17,0.6612361054009375,11.241013791815938,2.5781776934914635,0.10449391204032656
S12_C6,2.5,2011,16,0.4996316762694253,7.9941068203108046,2.069671075183979,0.07631793378170665
S12_C6,2.5,2012,14,1.1696513772586754,16.375119281621455,4.18517389984604,0.1563295684049599
S12_C6,2.5,2013,17,0.7761432388592946,13.194435060608008,3.0105217516555904,0.1259642939326348
S12_C6,2.5,2014,23,0.8536211220755593,19.633285807737863,3.8974385291230327,0.18743454895865444
S12_C6,2.5,2015,27,-0.026666759690610515,-0.7200025116464839,0.9539903963281098,0.006873701495567755
S12_C6,2.5,2016,22,0.26021931248364855,5.724824874640268,1.4890780684934017,0.054653611155733396
S12_C6,2.5,2017,27,0.2527521412466048,6.824307813658329,1.605941854741221,0.06515012665398819
S12_C6,2.5,2018,36,0.1917268548225864,6.90216677361311,1.3773137854625135,0.06589342857422827
S12_C6,2.5,2019,21,-0.1984767588177011,-4.168011935171723,0.7190110711182411,0.03979106934893713
S12_C6,2.5,2020,15,0.042236642604102995,0.6335496390615449,1.0926209773707636,0.006048355430837649
S12_C6,2.5,2021,18,-0.1916204203571447,-3.4491675664286046,0.7034552568691347,0.03292842438230946
S12_C6,2.5,2022,17,-0.22918544921499215,-3.8961526366548664,0.6907159052235936,0.03719568997654291
S12_C6,2.5,2023,17,0.3022193866773065,5.137729573514211,1.5616308084375903,0.04904874480580546
S12_C6,2.5,2024,17,0.32903229156314795,5.593548956573515,1.542971128711119,0.05340034959101471
S12_C6,2.5,2025,17,0.2647654591316315,4.501012805237735,1.4761720712486366,0.0429701535070796
S12_C6,3.0,2011,16,0.18713167626942115,2.9941068203107384,1.3146762265382606,0.027074520204937363
S12_C6,3.0,2012,14,1.1914062424834486,16.67968739476828,4.24441636324656,0.15082779622900197
S12_C6,3.0,2013,17,0.9820255918004638,16.694435060607884,3.5438394798092396,0.15096115352074635
S12_C6,3.0,2014,23,1.031937296669289,23.734557823393647,4.502695523440904,0.21462219082685707
S12_C6,3.0,2015,27,0.02888879586494505,0.7799974883535163,1.0498434029377879,0.007053207859843824
S12_C6,3.0,2016,22,0.3965829488472743,8.724824874640035,1.745371359137037,0.07889513017724133
S12_C6,3.0,2017,27,0.11842339411297241,3.197431641050255,1.2590165645723377,0.02891310589932018
S12_C6,3.0,2018,36,0.16266532153922145,5.855951575411972,1.32012139504523,0.05295304702294214
S12_C6,3.0,2019,21,-0.12977364478021303,-2.7252465403844734,0.8162759324512822,0.024643323351241506
S12_C6,3.0,2020,15,0.10890330927075942,1.6335496390613913,1.238814695526685,0.014771541352003504
S12_C6,3.0,2021,18,-0.19881182367748285,-3.578612826194691,0.692326104525113,0.032359976140864846
S12_C6,3.0,2022,17,-0.14095015509735093,-2.396152636654966,0.8097887921017867,0.0216674577323517
S12_C6,3.0,2023,17,0.38226508450044555,6.498506436507574,1.7103841047585915,0.05876341572839404
S12_C6,3.0,2024,17,0.5055028797984573,8.593548956573775,1.834183988164008,0.07770805412771756
S12_C6,3.0,2025,17,0.38241251795516046,6.501012805237727,1.6877564820703623,0.05878607982653684
S18_C9_STRESS,0.5,2011,16,0.0636991092208525,1.01918574753364,1.2446289267009447,0.026180260930591597
S18_C9_STRESS,0.5,2012,14,0.4542965620097087,6.3601518681359215,inf,0.16337594581648332
S18_C9_STRESS,0.5,2013,17,0.23406931417487287,3.9791783409728385,2.5817939938330636,0.10221485878126349
S18_C9_STRESS,0.5,2014,23,0.24460783992389312,5.625980318249542,3.0885968503501995,0.1445169666849999
S18_C9_STRESS,0.5,2015,27,-0.10407375464651639,-2.8099913754559425,0.725946264787005,0.0721814523016771
S18_C9_STRESS,0.5,2016,22,0.03184319417957162,0.7005502719505756,1.1096574978973013,0.017995334961311955
S18_C9_STRESS,0.5,2017,27,0.09792196041020408,2.64389293107551,1.4569724934295083,0.06791481040193688
S18_C9_STRESS,0.5,2018,36,0.09883369167834895,3.5580129004205623,1.4149922229208136,0.09139620167652193
S18_C9_STRESS,0.5,2019,21,-0.06948110425435769,-1.4591031893415114,0.8047157446381229,0.037480608725210134
S18_C9_STRESS,0.5,2020,15,0.16993696832944216,2.5490545249416323,1.9313568045090128,0.06547865563345158
S18_C9_STRESS,0.5,2021,18,0.04017047486301818,0.7230685475343273,1.1384866123655117,0.018573771553381864
S18_C9_STRESS,0.5,2022,17,-0.07576059818139722,-1.2879301690837526,0.7936807076372192,0.033083614020888434
S18_C9_STRESS,0.5,2023,17,-0.047762282765134,-0.8119588070072781,0.858248469795726,0.02085713373031717
S18_C9_STRESS,0.5,2024,17,0.1941461704427495,3.300484897526742,2.056120039204338,0.08478096953752283
S18_C9_STRESS,0.5,2025,17,0.12358852874530442,2.101004988670175,1.5111644527094321,0.053969415244441765
S18_C9_STRESS,1.0,2011,16,0.40744910922084576,6.519185747533532,2.5647603160096044,0.10234358378968497
S18_C9_STRESS,1.0,2012,14,0.6685822762954102,9.360151868135743,5.5024285810545255,0.146943425774171
S18_C9_STRESS,1.0,2013,17,0.13776620959971372,2.342025563195133,1.3520782549777082,0.03676705937626183
S18_C9_STRESS,1.0,2014,23,0.31481591021253624,7.2407659348883335,2.2400857534189527,0.11367154792898916
S18_C9_STRESS,1.0,2015,27,-0.08140878084788737,-2.198037082892959,0.8381734764293497,0.034506608812457866
S18_C9_STRESS,1.0,2016,22,0.16344164433838196,3.5957161754444034,1.4226343453450325,0.05644853420916076
S18_C9_STRESS,1.0,2017,27,0.03844344080067163,1.037972901618134,1.1011595954075513,0.016294959331135637
S18_C9_STRESS,1.0,2018,36,0.19832255820029338,7.139612095210562,1.5851177738888325,0.11208355107361084
S18_C9_STRESS,1.0,2019,21,-0.17218885402093725,-3.6159659344396826,0.6964019119595485,0.05676643171764
S18_C9_STRESS,1.0,2020,15,0.26993696832943254,4.049054524941488,1.8357709007989864,0.06356541554275154
S18_C9_STRESS,1.0,2021,18,0.06794825264078956,1.223068547534212,1.1466766897936698,0.01920074426817091
S18_C9_STRESS,1.0,2022,17,-0.10517236288728458,-1.7879301690838378,0.8093275390873603,0.028068410405236145
S18_C9_STRESS,1.0,2023,17,0.15812007017606156,2.6880411929930466,1.392778906827171,0.042199099660458574
S18_C9_STRESS,1.0,2024,17,0.1353226410309978,2.300484897526963,1.3142861511375759,0.036114919559706034
S18_C9_STRESS,1.0,2025,17,0.5059414699217715,8.601004988670114,3.0925833263096756,0.13502570855056478
