scenario,target_r,dimension,group,trades,mean_net_R,sum_net_R,pf_net,tp_pct,positive_years,active_years
S10_C6,1.0,objective_anchor_variant,TRANSITION_HIGH,12,0.5142730315848265,6.171276379017918,3.96399069223991,66.66666666666666,7,8
S10_C6,1.0,objective_anchor_variant,TRANSITION_LOW,10,0.41840524978960747,4.184052497896075,2.5987626210266255,70.0,5,8
S10_C6,1.0,doz_tradable_age_bucket,1-3d,73,0.21856376995215412,15.955155206507252,1.5838961377227405,61.64383561643836,12,15
S10_C6,1.0,doz_tradable_age_bucket,1-4h,14,0.5009978223341979,7.01396951267877,3.253984813769323,71.42857142857143,7,9
S10_C6,1.0,doz_tradable_age_bucket,12-24h,33,0.4429530950895238,14.617452137954285,2.8230656530565255,69.6969696969697,10,12
S10_C6,1.0,doz_tradable_age_bucket,3-7d,37,0.3194207812622945,11.818568906704897,2.0296372832173244,64.86486486486487,8,13
S10_C6,1.0,doz_tradable_age_bucket,4-12h,60,0.2112254648657846,12.673527891947076,1.6035322628337418,58.333333333333336,7,15
S10_C6,1.0,doz_tradable_age_bucket,7-30d,42,0.4401546069215621,18.48649349070561,2.7806619343043772,69.04761904761905,10,15
S10_C6,1.0,doz_tradable_age_bucket,<1h,7,-0.20665998396419544,-1.4466198877493681,0.5932388945562821,28.57142857142857,3,7
S10_C6,1.0,doz_tradable_age_bucket,>=30d,38,0.10583763215164192,4.021830021762393,1.2525941522580477,52.63157894736842,9,15
S10_C6,1.5,direction,LONG,154,0.36706863176111637,56.52856929121192,1.887536717710384,51.298701298701296,13,15
S10_C6,1.5,direction,SHORT,150,0.2034035890885888,30.51053836328832,1.4504428015885977,42.0,10,15
S10_C6,1.5,contact_session,ASIA_CME,80,0.3380931650833368,27.047453206666944,1.8962749078816996,43.75,11,15
S10_C6,1.5,contact_session,LONDON,61,0.1814077492417361,11.065872703745903,1.3769765059448686,42.62295081967213,10,15
S10_C6,1.5,contact_session,NY_AM,116,0.34353865188052096,39.85048361814043,1.759297836846214,54.310344827586206,12,15
S10_C6,1.5,contact_session,NY_PM,39,0.27602790651099746,10.7650883539289,1.6512999263711055,46.15384615384615,8,15
S10_C6,1.5,contact_session,TRANSITION,8,-0.2112237784977426,-1.6897902279819408,0.41371720072807183,0.0,3,6
S10_C6,1.5,confirmation_session,ASIA_CME,80,0.3380931650833368,27.047453206666944,1.8962749078816996,43.75,11,15
S10_C6,1.5,confirmation_session,LONDON,61,0.1814077492417361,11.065872703745903,1.3769765059448686,42.62295081967213,10,15
S10_C6,1.5,confirmation_session,NY_AM,116,0.34353865188052096,39.85048361814043,1.759297836846214,54.310344827586206,12,15
S10_C6,1.5,confirmation_session,NY_PM,39,0.27602790651099746,10.7650883539289,1.6512999263711055,46.15384615384615,8,15
S10_C6,1.5,confirmation_session,TRANSITION,8,-0.2112237784977426,-1.6897902279819408,0.41371720072807183,0.0,3,6
S10_C6,1.5,entry_session,ASIA_CME,80,0.3380931650833368,27.047453206666944,1.8962749078816996,43.75,11,15
S10_C6,1.5,entry_session,LONDON,61,0.1814077492417361,11.065872703745903,1.3769765059448686,42.62295081967213,10,15
S10_C6,1.5,entry_session,NY_AM,116,0.34353865188052096,39.85048361814043,1.759297836846214,54.310344827586206,12,15
S10_C6,1.5,entry_session,NY_PM,39,0.27602790651099746,10.7650883539289,1.6512999263711055,46.15384615384615,8,15
S10_C6,1.5,entry_session,TRANSITION,8,-0.2112237784977426,-1.6897902279819408,0.41371720072807183,0.0,3,6
S10_C6,1.5,exit_session,ASIA_CME,81,0.31547793465131535,25.553712706756542,1.834226947550728,41.9753086419753,10,15
S10_C6,1.5,exit_session,LONDON,51,0.19513745099755986,9.952010000875553,1.4265461403057165,43.13725490196079,10,14
S10_C6,1.5,exit_session,NY_AM,119,0.31143812670655163,37.061137078079646,1.6810270806141685,51.26050420168067,11,15
S10_C6,1.5,exit_session,NY_PM,46,0.352402233352533,16.21050273421652,1.7925826086859478,54.347826086956516,8,15
S10_C6,1.5,exit_session,TRANSITION,7,-0.2483221236325739,-1.7382548654280172,0.32901803481985287,0.0,4,6
S10_C6,1.5,doz_anchor_source_tf,15min,130,0.26181111427938253,34.03544485631973,1.5861868916118522,46.15384615384615,11,15
S10_C6,1.5,doz_anchor_source_tf,1h,75,0.23047389511335137,17.28554213350135,1.5638087408197372,41.333333333333336,8,13
S10_C6,1.5,doz_anchor_source_tf,30min,99,0.36078909762302175,35.718120664679155,1.8363899381222069,51.515151515151516,11,15
S10_C6,1.5,doz_anchor_variant,DOZ_BASE,35,-0.01823943273861793,-0.6383801458516276,0.9628472779066705,28.57142857142857,8,14
S10_C6,1.5,doz_anchor_variant,DOZ_BODY,205,0.3831836877011294,78.55265597873154,1.929426920904822,52.6829268292683,14,15
S10_C6,1.5,doz_anchor_variant,DOZ_LAST,64,0.1425754972128176,9.124831821620326,1.3069628491522463,37.5,10,15
S10_C6,1.5,objective_anchor_variant,ASIA_CME_HIGH,20,0.11427226607993683,2.2854453215987367,1.2302089213070637,40.0,5,11
S10_C6,1.5,objective_anchor_variant,ASIA_CME_LOW,30,0.3484982352526596,10.454947057579789,1.760230518790549,53.333333333333336,10,13
S10_C6,1.5,objective_anchor_variant,LONDON_HIGH,25,0.6236453365020385,15.591133412550962,3.1532512277677953,60.0,10,11
S10_C6,1.5,objective_anchor_variant,LONDON_LOW,40,0.40668952530487135,16.267581012194853,2.016163108562301,55.00000000000001,8,15
S10_C6,1.5,objective_anchor_variant,NY_AM_HIGH,52,0.15582918124492018,8.10311742473585,1.3174158096605901,42.30769230769231,10,14
S10_C6,1.5,objective_anchor_variant,NY_AM_LOW,42,0.39234473631244865,16.478478925122843,1.996264782109565,50.0,10,14
S10_C6,1.5,objective_anchor_variant,NY_PM_HIGH,25,-0.08899571259269902,-2.2248928148174754,0.829785433339568,28.000000000000004,5,11
S10_C6,1.5,objective_anchor_variant,NY_PM_LOW,15,0.7474917775893533,11.212376663840299,4.111203844726186,66.66666666666666,6,8
S10_C6,1.5,objective_anchor_variant,PDH,17,0.24234352429150494,4.119839912955584,1.5618654645441352,41.17647058823529,5,10
S10_C6,1.5,objective_anchor_variant,PDL,16,-0.16852770669194475,-2.696443307071116,0.718692550895794,25.0,4,8
S10_C6,1.5,objective_anchor_variant,TRANSITION_HIGH,12,0.3969559623261641,4.763471547913969,2.1506752167988514,41.66666666666667,6,8
S10_C6,1.5,objective_anchor_variant,TRANSITION_LOW,10,0.2684052497895949,2.6840524978959492,1.571648863036012,50.0,4,8
S10_C6,1.5,doz_tradable_age_bucket,1-3d,73,0.2919896815530691,21.315246753374044,1.6506175335161961,47.94520547945205,11,15
S10_C6,1.5,doz_tradable_age_bucket,1-4h,14,0.2430692936062562,3.402970110487587,1.5476861393976733,42.857142857142854,4,9
S10_C6,1.5,doz_tradable_age_bucket,12-24h,33,0.4456218564821205,14.705521263909976,2.2095797300604385,54.54545454545454,9,12
S10_C6,1.5,doz_tradable_age_bucket,3-7d,37,0.35410680462266997,13.101951771038788,1.9538877270436905,45.94594594594595,10,13
S10_C6,1.5,doz_tradable_age_bucket,4-12h,60,0.1343230417362239,8.059382504173433,1.274009235128607,41.66666666666667,9,15
