date,open,high,low,close,bars,last_min,sma200,atr14,prior_close,prior_sma200,prior_atr14
2004-03-08,31.2432,31.3556,30.487,30.5211,78,955,28.8933095,0.5345445942588645,31.2449,28.858604999999997,0.5088480245864694
2004-03-09,30.4861,30.6403,30.2485,30.487,78,955,28.927843499999998,0.5243485518118027,30.5211,28.8933095,0.5345445942588645
2004-03-10,30.4444,30.6488,30.0101,30.0527,78,955,28.9601635,0.532516512396674,30.487,28.927843499999998,0.5243485518118027
2004-03-11,29.8653,30.2571,29.6865,29.7206,78,955,28.9890355,0.5352367615111975,30.0527,28.9601635,0.532516512396674
2004-03-12,29.959,30.2996,29.9335,30.2826,78,955,29.02093,0.5383627071175405,29.7206,28.9890355,0.5352367615111975
2004-03-15,30.1123,30.1464,29.6439,29.6609,78,955,29.045247,0.5455296566091448,30.2826,29.02093,0.5383627071175405
2004-03-16,29.8994,30.0186,29.4906,29.8091,78,955,29.070135,0.54427753827992,29.6609,29.045247,0.5455296566091448
2004-03-17,29.9846,30.3337,29.959,30.2315,78,955,29.096454000000005,0.5428719998313543,29.8091,29.070135,0.54427753827992
2004-03-18,30.1208,30.1974,29.7802,30.0544,78,955,29.120057000000003,0.5363311427005433,30.2315,29.096454000000005,0.5428719998313543
2004-03-19,30.0399,30.194,29.6524,29.6584,78,955,29.143041999999994,0.5367074896505044,30.0544,29.120057000000003,0.5363311427005433
2004-03-22,29.4055,29.4225,28.9797,29.2462,78,955,29.162391000000003,0.5468498118183255,29.6584,29.143041999999994,0.5367074896505044
2004-03-23,29.4566,29.5077,28.9626,29.0563,78,955,29.1781945,0.5467248252598738,29.2462,29.162391000000003,0.5468498118183255
2004-03-24,29.0819,29.4906,28.9626,29.3033,78,955,29.194423999999998,0.5453873377413115,29.0563,29.1781945,0.5467248252598738
2004-03-25,29.5077,30.1974,29.4906,30.1549,78,955,29.216912,0.5702953850455035,29.3033,29.194423999999998,0.5453873377413115
2004-03-26,30.0612,30.3022,30.0101,30.0356,78,955,29.240676500000003,0.5504242861136817,30.1549,29.216912,0.5702953850455035
2004-03-29,30.24,30.6232,30.2315,30.5296,78,955,29.2649955,0.5530796942484187,30.0356,29.240676500000003,0.5504242861136817
2004-03-30,30.3763,30.6062,30.246,30.5721,78,955,29.2879095,0.5393025732306748,30.5296,29.2649955,0.5530796942484187
2004-03-31,30.5892,30.6573,30.3252,30.3933,78,955,29.309844500000004,0.5245023894284837,30.5721,29.2879095,0.5393025732306748
2004-04-01,30.4955,30.8702,30.47,30.7254,78,955,29.335865999999996,0.5211022187550206,30.3933,29.309844500000004,0.5245023894284837
2004-04-02,31.4152,31.543,31.1001,31.5089,78,955,29.362272500000003,0.5422806317010905,30.7254,29.335865999999996,0.5211022187550206
2004-04-05,31.5191,31.9177,31.5004,31.9006,78,955,29.390722500000003,0.5333534437224413,31.5089,29.362272500000003,0.5422806317010905
2004-04-06,31.6452,31.7218,31.4408,31.56,78,955,29.41658,0.5280996263136957,31.9006,29.390722500000003,0.5333534437224413
2004-04-07,31.5038,31.6026,31.2194,31.4042,78,955,29.4438675,0.5177496530055744,31.56,29.41658,0.5280996263136957
2004-04-08,31.807,31.824,31.2875,31.5004,78,955,29.4719765,0.5190889635051763,31.4042,29.4438675,0.5177496530055744
2004-04-12,31.5319,31.7133,31.4919,31.6452,78,955,29.5037465,0.4978254661119494,31.5004,29.4719765,0.5190889635051763
2004-04-14,31.0065,31.4663,30.9979,31.2364,78,955,29.5338555,0.5085022185325243,31.6452,29.5037465,0.4978254661119494
2004-04-15,31.296,31.3897,30.6743,30.923,78,955,29.559886000000002,0.523280631494487,31.2364,29.5338555,0.5085022185325243
2004-04-16,30.8276,30.9298,30.4785,30.6999,78,955,29.585695,0.5181391578163094,30.923,29.559886000000002,0.523280631494487
2004-04-19,30.6658,31.1512,30.6403,31.1427,78,955,29.6143565,0.5176220751151444,30.6999,29.585695,0.5181391578163094
2004-04-20,31.1768,31.3301,30.4274,30.4444,78,955,29.637615500000003,0.5451276411783486,31.1427,29.6143565,0.5176220751151444
2004-04-21,30.5892,30.751,30.3584,30.7212,78,955,29.6596575,0.5342328096656095,30.4444,29.637615500000003,0.5451276411783486
2004-04-22,30.6573,31.5174,30.6403,31.4408,78,955,29.686702499999996,0.558723323260923,30.7212,29.6596575,0.5342328096656095
2004-04-23,31.577,31.7048,31.4237,31.6835,78,955,29.709602,0.5388930858851426,31.4408,29.686702499999996,0.558723323260923
2004-04-26,31.6622,31.7559,31.2108,31.3216,78,955,29.729066,0.5393364368933469,31.6835,29.709602,0.5388930858851426
2004-04-27,31.4629,31.6707,31.2449,31.3505,78,955,29.7488915,0.5312266914009649,31.3216,29.729066,0.5393364368933469
2004-04-28,31.2619,31.2705,30.6735,30.7254,78,955,29.768188,0.5416390705866103,31.3505,29.7488915,0.5312266914009649
2004-04-29,30.734,30.9469,30.0612,30.3337,78,955,29.7843385,0.5662148512589953,30.7254,29.768188,0.5416390705866103
2004-04-30,30.3678,30.487,29.6609,29.6669,78,955,29.7955335,0.5847780761690669,30.3337,29.7843385,0.5662148512589953
2004-05-03,29.8057,30.2485,29.712,29.959,78,955,29.8084015,0.5845510707284193,29.6669,29.7955335,0.5847780761690669
2004-05-04,29.9846,30.4444,29.8313,30.1549,78,955,29.822377000000003,0.5865902799621038,29.959,29.8084015,0.5845510707284193
2004-05-05,30.1634,30.4018,29.976,30.2537,78,955,29.8408175,0.5751052599648108,30.1549,29.822377000000003,0.5865902799621038
2004-05-06,30.0092,30.1804,29.678,30.0041,78,955,29.8576145,0.5751477413958955,30.2537,29.8408175,0.5751052599648108
2004-05-07,29.8824,30.3507,29.7717,29.7887,78,955,29.875334499999997,0.5754229027247602,30.0041,29.8576145,0.5751477413958955
2004-05-10,29.5247,29.7206,29.3118,29.5903,78,955,29.890032499999997,0.5683855525301342,29.7887,29.875334499999997,0.5754229027247602
2004-05-11,29.7785,30.1293,29.7376,30.0612,78,955,29.906187,0.5662865844922677,29.5903,29.890032499999997,0.5683855525301342
2004-05-12,29.9079,30.0186,29.1841,29.9905,78,955,29.9236395,0.5884875427428199,30.0612,29.906187,0.5662865844922677
2004-05-13,29.8568,30.1889,29.7376,29.9931,78,955,29.938381,0.5786884325469042,29.9905,29.9236395,0.5884875427428199
2004-05-14,29.976,30.0731,29.5068,29.6354,78,955,29.950993500000003,0.5778035445078397,29.9931,29.938381,0.5786884325469042
2004-05-17,29.2777,29.4779,29.0478,29.2352,78,955,29.962413499999997,0.5785032913287084,29.6354,29.950993500000003,0.5778035445078397
2004-05-18,29.5162,29.7206,29.4651,29.6039,78,955,29.976740999999997,0.5718530562338008,29.2352,29.962413499999997,0.5785032913287084
2004-05-19,29.942,30.2315,29.5588,29.5928,78,955,29.989740499999996,0.5790564093599578,29.6039,29.976740999999997,0.5718530562338008
2004-05-20,29.6184,29.8227,29.431,29.6099,78,955,30.003783000000002,0.5656738086913894,29.5928,29.989740499999996,0.5790564093599578
2004-05-21,29.8142,29.9505,29.5826,29.8057,78,955,30.018694,0.551547108070576,29.6099,30.003783000000002,0.5656738086913894
2004-05-24,30.0612,30.1974,29.8057,29.942,78,955,30.0383725,0.5401294574941061,29.8057,30.018694,0.551547108070576
2004-05-25,29.9335,30.7254,29.7623,30.6743,78,955,30.063117000000002,0.57034163910167,29.942,30.0383725,0.5401294574941061
2004-05-26,30.5381,30.8191,30.4955,30.7816,78,955,30.0881,0.5527172363086935,30.6743,30.063117000000002,0.57034163910167
2004-05-27,30.9043,31.0831,30.7084,30.963,78,955,30.1150545,0.5400017194295013,30.7816,30.0881,0.5527172363086935
2004-05-28,30.9809,31.1197,30.8361,31.1172,78,955,30.1412475,0.5216873108988228,30.963,30.1150545,0.5400017194295013
