scenario,sample,entry_model,risk_rule,target_r,dimension,group,trades,sum_net_R,mean_net_R,pos_R,neg_R,pf_net,positive_years,active_years,arch_mean_net_R,arch_pf_net,arch_trades,arch_positive_years,arch_active_years
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_origin_to_entry,NY_PM->ASIA_CME,7,-3.6502156644916877,-0.5214593806416696,1.6371456007379108,5.287361265229599,0.3096337697792661,2,7,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_origin_to_entry,NY_PM->LONDON,2,-0.17815361652608652,-0.08907680826304326,0.9314651645758806,1.109618781101967,0.8394461056713898,1,2,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_origin_to_entry,NY_PM->NY_AM,2,-2.3212905582980947,-1.1606452791490474,0.0,2.3212905582980947,0.0,0,2,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_origin_to_entry,NY_PM->NY_PM,9,-2.172769356242121,-0.24141881736023565,3.6473715240892113,5.820140880331332,0.626680968568165,3,7,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_origin_to_entry,NY_PM->TRANSITION,1,-1.2479338842975598,-1.2479338842975598,0.0,1.2479338842975598,0.0,0,1,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_origin_to_entry,TRANSITION->ASIA_CME,3,-1.7992103605607266,-0.5997367868535756,0.7806215722120761,2.5798319327728025,0.3025862120301241,1,2,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_origin_to_entry,TRANSITION->NY_AM,1,-3.6733467367504335,-3.6733467367504335,0.0,3.6733467367504335,0.0,0,1,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.5,contact_session,ASIA_CME,42,-17.711099102479206,-0.42169283577331446,16.451322491013332,34.16242159349254,0.4815619538559608,4,13,-0.34673493177638864,0.5576097570860981,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.5,contact_session,LONDON,35,-4.883889344117939,-0.13953969554622683,19.324039850974017,24.207929195091964,0.7982524938519677,8,14,-0.34673493177638864,0.5576097570860981,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.5,contact_session,NY_AM,102,-47.50909148192703,-0.4657754066855591,38.292957069485894,85.80204855141292,0.4462942052781013,2,15,-0.34673493177638864,0.5576097570860981,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.5,contact_session,NY_PM,28,-0.768851996667093,-0.02745899988096761,16.836258863086094,17.605110859753182,0.9563279093899516,7,12,-0.34673493177638864,0.5576097570860981,208,1,15
