dimension,group,fully_rejected_architectures_observed,eligible_architectures_n50,repeated_signal_architectures,robust_signal_architectures,median_primary_delta_rr15,median_stress_delta_rr15,primary_and_stress_positive_rr15_architectures
transition:DISPLACEMENT_ORIGIN_activation_to_entry,LONDON->ASIA_CME,14,7,0,0,-0.05347655230056754,-0.04012453699111852,0
transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_PM->LONDON,14,7,0,0,-0.022144395422355228,-0.011639453715208966,0
transition:DISPLACEMENT_ORIGIN_origin_to_entry,NY_PM->LONDON,14,7,0,0,-0.10283311106445206,-0.09773218121896587,0
transition:DISPLACEMENT_ORIGIN_origin_to_entry,TRANSITION->ASIA_CME,14,7,0,0,-0.03479024566587197,-0.06946032217525158,0
transition:MEMORY_origin_to_entry,ASIA_CME->NY_PM,9,7,0,0,0.06671811603323179,0.01942200667073074,0
transition:MEMORY_origin_to_entry,LONDON->ASIA_CME,9,7,0,0,0.07114269049027455,0.07477180970717828,2
transition:MEMORY_origin_to_entry,LONDON->NY_PM,9,7,0,0,-0.0113103954323725,-0.011255589200012128,0
transition:MEMORY_origin_to_entry,NY_AM->ASIA_CME,9,7,0,0,0.0052315496471664336,0.021062487821940895,0
transition:MEMORY_origin_to_entry,NY_PM->ASIA_CME,9,7,0,0,-0.03406506822834972,-0.014246819615718193,0
transition:MEMORY_origin_to_entry,NY_PM->NY_PM,9,7,0,0,-0.08198630000835072,-0.08300038550330605,0
transition:MEMORY_origin_to_entry,NY_PM->TRANSITION,9,7,0,0,-0.06242410445631025,-0.16427881780315265,0
transition:MEMORY_origin_to_entry,TRANSITION->ASIA_CME,9,7,0,0,-0.0920769117781298,-0.07527563685743283,0
transition:MEMORY_origin_to_entry,TRANSITION->NY_AM,9,7,0,0,-0.12534518865260602,-0.06994220219753436,0
transition:OBJECTIVE_LIQUIDITY_activation_to_entry,ASIA_CME->LONDON,14,7,0,0,-0.014667923416516225,-0.009412449677228742,0
transition:OBJECTIVE_LIQUIDITY_activation_to_entry,ASIA_CME->NY_PM,14,7,0,0,-0.056590452761982664,-0.0413388436063357,0
transition:OBJECTIVE_LIQUIDITY_origin_to_entry,TRANSITION->LONDON,14,7,0,0,-0.013520315746351175,-0.016684476618297563,0
transition:OBJECTIVE_LIQUIDITY_origin_to_entry,TRANSITION->NY_PM,14,7,0,0,-0.06317871892683365,-0.056990804896561796,0
relevant_variant,PWH,8,6,0,0,-0.05341609921051583,-0.03390346556559613,0
relevant_variant,PWL,9,6,0,0,-0.03451064365703255,0.0001833179885731423,0
transition:DISPLACEMENT_ORIGIN_activation_to_entry,TRANSITION->ASIA_CME,14,6,0,0,-0.09495625627258965,-0.11276231255130711,0
transition:DISPLACEMENT_ORIGIN_origin_to_entry,NY_PM->TRANSITION,12,6,0,0,-0.06416628158765561,-0.09468260867380521,0
transition:MEMORY_origin_to_entry,TRANSITION->LONDON,9,6,0,0,0.056222474352984886,0.05656918631985613,0
transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_PM->TRANSITION,14,5,0,0,-0.04702469219882677,-0.04406195518215775,0
transition:MEMORY_activation_to_entry,ASIA_CME->NY_AM,9,5,0,0,0.032913719379889475,0.027557572106179706,0
transition:MEMORY_activation_to_entry,NY_PM->ASIA_CME,9,4,0,0,0.04431761427045183,0.09398529269469189,0
transition:MEMORY_activation_to_entry,TRANSITION->ASIA_CME,9,4,0,0,-0.15961731612139435,-0.15778365679278578,0
transition:MEMORY_origin_to_entry,NY_AM->LONDON,9,4,0,0,0.07535115348702254,0.0680015172705985,0
transition:OBJECTIVE_LIQUIDITY_origin_to_entry,ASIA_CME->TRANSITION,9,4,0,0,-0.31039844638754643,-0.25405764512804724,0
relevant_variant,ROUND_25,9,0,0,0,,,0
transition:DISPLACEMENT_ORIGIN_activation_to_entry,ASIA_CME->TRANSITION,13,0,0,0,,,0
transition:DISPLACEMENT_ORIGIN_activation_to_entry,LONDON->TRANSITION,12,0,0,0,,,0
transition:DISPLACEMENT_ORIGIN_activation_to_entry,TRANSITION->LONDON,13,0,0,0,,,0
transition:DISPLACEMENT_ORIGIN_activation_to_entry,TRANSITION->NY_AM,13,0,0,0,,,0
transition:DISPLACEMENT_ORIGIN_activation_to_entry,TRANSITION->NY_PM,9,0,0,0,,,0
transition:DISPLACEMENT_ORIGIN_activation_to_entry,TRANSITION->TRANSITION,10,0,0,0,,,0
transition:DISPLACEMENT_ORIGIN_origin_to_entry,ASIA_CME->TRANSITION,13,0,0,0,,,0
transition:DISPLACEMENT_ORIGIN_origin_to_entry,LONDON->TRANSITION,12,0,0,0,,,0
transition:DISPLACEMENT_ORIGIN_origin_to_entry,TRANSITION->LONDON,13,0,0,0,,,0
transition:DISPLACEMENT_ORIGIN_origin_to_entry,TRANSITION->NY_AM,14,0,0,0,,,0
transition:DISPLACEMENT_ORIGIN_origin_to_entry,TRANSITION->NY_PM,12,0,0,0,,,0
transition:DISPLACEMENT_ORIGIN_origin_to_entry,TRANSITION->TRANSITION,8,0,0,0,,,0
transition:MEMORY_activation_to_entry,ASIA_CME->NY_PM,8,0,0,0,,,0
transition:MEMORY_activation_to_entry,ASIA_CME->TRANSITION,7,0,0,0,,,0
transition:MEMORY_activation_to_entry,LONDON->ASIA_CME,9,0,0,0,,,0
transition:MEMORY_activation_to_entry,LONDON->NY_PM,8,0,0,0,,,0
transition:MEMORY_activation_to_entry,LONDON->TRANSITION,5,0,0,0,,,0
transition:MEMORY_activation_to_entry,NY_AM->ASIA_CME,9,0,0,0,,,0
transition:MEMORY_activation_to_entry,NY_AM->LONDON,9,0,0,0,,,0
transition:MEMORY_activation_to_entry,NY_AM->TRANSITION,9,0,0,0,,,0
transition:MEMORY_activation_to_entry,NY_PM->LONDON,8,0,0,0,,,0
transition:MEMORY_activation_to_entry,NY_PM->NY_AM,9,0,0,0,,,0
transition:MEMORY_activation_to_entry,NY_PM->TRANSITION,9,0,0,0,,,0
transition:MEMORY_activation_to_entry,TRANSITION->LONDON,5,0,0,0,,,0
transition:MEMORY_activation_to_entry,TRANSITION->NY_AM,8,0,0,0,,,0
transition:MEMORY_origin_to_entry,ASIA_CME->TRANSITION,9,0,0,0,,,0
transition:MEMORY_origin_to_entry,LONDON->TRANSITION,9,0,0,0,,,0
transition:MEMORY_origin_to_entry,NY_AM->TRANSITION,9,0,0,0,,,0
transition:MEMORY_origin_to_entry,NY_PM->NY_AM,9,0,0,0,,,0
transition:MEMORY_origin_to_entry,TRANSITION->NY_PM,9,0,0,0,,,0
transition:OBJECTIVE_LIQUIDITY_activation_to_entry,ASIA_CME->TRANSITION,14,0,0,0,,,0
transition:OBJECTIVE_LIQUIDITY_activation_to_entry,LONDON->TRANSITION,8,0,0,0,,,0
transition:OBJECTIVE_LIQUIDITY_activation_to_entry,NY_AM->TRANSITION,10,0,0,0,,,0
transition:OBJECTIVE_LIQUIDITY_origin_to_entry,LONDON->TRANSITION,10,0,0,0,,,0
