datetime,open,high,low,close,volume
2026-08-10 08:23:00,29824.25,29828.5,29821.5,29823.0,79
2026-08-10 08:24:00,29824.25,29825.75,29810.25,29820.5,242
2026-08-10 08:25:00,29819.0,29827.25,29817.75,29824.0,178
2026-08-10 08:26:00,29823.25,29827.5,29819.25,29820.75,140
2026-08-10 08:27:00,29819.0,29825.5,29816.25,29817.75,79
2026-08-10 08:28:00,29818.5,29823.25,29816.5,29821.25,83
2026-08-10 08:29:00,29821.25,29825.25,29820.75,29821.0,59
2026-08-10 08:30:00,29823.25,29827.5,29810.75,29813.75,250
2026-08-10 08:31:00,29815.0,29817.0,29811.0,29811.75,85
2026-08-10 08:32:00,29811.75,29814.75,29801.25,29803.25,299
2026-08-10 08:33:00,29802.25,29808.25,29802.25,29804.25,208
2026-08-10 08:34:00,29803.5,29804.75,29794.5,29797.0,267
2026-08-10 08:35:00,29794.0,29796.75,29783.75,29793.5,396
2026-08-10 08:36:00,29792.5,29811.75,29782.25,29809.25,466
2026-08-10 08:37:00,29810.5,29812.25,29804.25,29806.5,240
2026-08-10 08:38:00,29806.75,29811.0,29801.5,29801.5,153
2026-08-10 08:39:00,29800.5,29801.0,29784.25,29792.0,385
2026-08-10 08:40:00,29793.25,29796.0,29790.0,29795.5,105
2026-08-10 08:41:00,29795.75,29803.5,29793.0,29801.75,140
2026-08-10 08:42:00,29802.75,29806.5,29798.25,29806.25,112
2026-08-10 08:43:00,29806.25,29808.75,29796.25,29803.75,190
2026-08-10 08:44:00,29804.25,29808.5,29802.75,29804.0,102
2026-08-10 08:45:00,29803.75,29809.25,29799.25,29805.5,83
2026-08-10 08:46:00,29805.75,29807.25,29801.25,29807.25,132
2026-08-10 08:47:00,29806.75,29810.0,29802.0,29808.0,79
2026-08-10 08:48:00,29808.25,29808.25,29791.25,29796.5,232
2026-08-10 08:49:00,29796.75,29804.75,29796.0,29798.25,122
2026-08-10 08:50:00,29796.5,29796.75,29780.5,29788.5,310
2026-08-10 08:51:00,29788.75,29788.75,29778.0,29778.75,256
2026-08-10 08:52:00,29779.25,29779.75,29774.25,29774.75,202
2026-08-10 08:53:00,29776.0,29781.0,29774.0,29775.5,150
2026-08-10 08:54:00,29777.0,29779.75,29773.0,29778.0,118
2026-08-10 08:55:00,29777.75,29780.75,29775.75,29776.5,110
2026-08-10 08:56:00,29776.75,29780.25,29775.75,29776.5,98
2026-08-10 08:57:00,29776.75,29782.5,29773.0,29775.0,134
2026-08-10 08:58:00,29772.75,29782.25,29771.75,29779.5,262
2026-08-10 08:59:00,29779.25,29780.5,29774.75,29777.0,94
2026-08-10 09:00:00,29778.5,29797.0,29773.25,29786.5,654
2026-08-10 09:01:00,29785.5,29790.5,29772.25,29789.25,290
2026-08-10 09:02:00,29789.25,29795.0,29786.75,29790.5,187
2026-08-10 09:03:00,29790.25,29795.75,29788.0,29789.0,133
2026-08-10 09:04:00,29790.0,29796.5,29787.75,29795.5,194
2026-08-10 09:05:00,29794.75,29799.25,29791.0,29799.0,186
2026-08-10 09:06:00,29799.0,29804.75,29796.25,29800.75,289
2026-08-10 09:07:00,29801.0,29804.25,29797.5,29797.5,95
2026-08-10 09:08:00,29799.0,29806.25,29797.25,29801.25,154
2026-08-10 09:09:00,29801.25,29808.75,29799.5,29807.75,155
2026-08-10 09:10:00,29807.25,29816.0,29804.5,29815.0,271
2026-08-10 09:11:00,29814.0,29815.25,29806.25,29808.5,169
2026-08-10 09:12:00,29809.25,29810.25,29799.75,29805.0,261
2026-08-10 09:13:00,29805.5,29806.0,29797.0,29803.5,144
2026-08-10 09:14:00,29803.75,29812.5,29800.5,29805.75,218
2026-08-10 09:15:00,29804.5,29804.5,29793.0,29794.75,219
2026-08-10 09:16:00,29795.5,29807.5,29794.0,29806.75,169
2026-08-10 09:17:00,29807.5,29818.5,29806.25,29815.0,268
2026-08-10 09:18:00,29815.25,29816.75,29809.5,29815.5,128
2026-08-10 09:19:00,29817.0,29817.5,29810.5,29815.25,129
2026-08-10 09:20:00,29815.25,29816.75,29808.5,29809.75,227
2026-08-10 09:21:00,29810.5,29812.75,29807.5,29809.5,133
2026-08-10 09:22:00,29810.0,29813.5,29794.25,29794.25,311
2026-08-10 09:23:00,29795.25,29818.75,29795.25,29818.0,333
2026-08-10 09:24:00,29818.0,29819.5,29810.5,29813.25,230
2026-08-10 09:25:00,29808.75,29823.75,29802.25,29812.0,636
2026-08-10 09:26:00,29812.5,29813.25,29807.0,29809.0,196
2026-08-10 09:27:00,29809.0,29809.25,29791.5,29793.75,575
2026-08-10 09:28:00,29793.75,29801.0,29789.5,29796.25,446
2026-08-10 09:29:00,29795.25,29807.75,29794.75,29806.0,588
2026-08-10 09:30:00,29805.75,29836.5,29788.0,29824.0,4137
2026-08-10 09:31:00,29824.25,29832.75,29798.25,29815.0,1917
2026-08-10 09:32:00,29812.5,29832.0,29799.25,29821.75,1806
2026-08-10 09:33:00,29821.0,29841.75,29804.25,29804.25,1946
2026-08-10 09:34:00,29802.75,29804.0,29737.0,29740.75,3961
2026-08-10 09:35:00,29741.25,29787.5,29727.75,29782.5,3358
2026-08-10 09:36:00,29782.0,29811.25,29773.25,29774.25,2945
2026-08-10 09:37:00,29774.25,29787.0,29751.5,29758.5,2444
2026-08-10 09:38:00,29758.75,29769.5,29740.25,29761.0,1727
2026-08-10 09:39:00,29761.75,29766.0,29735.0,29764.25,2877
2026-08-10 09:40:00,29764.5,29771.0,29734.0,29744.5,2176
2026-08-10 09:41:00,29745.25,29756.75,29718.75,29754.25,2401
2026-08-10 09:42:00,29756.0,29778.0,29750.0,29756.75,2581
2026-08-10 09:43:00,29757.75,29774.25,29750.75,29774.0,1347
2026-08-10 09:44:00,29774.25,29788.0,29768.5,29776.75,1738
2026-08-10 09:45:00,29775.25,29804.25,29768.0,29772.75,2094
2026-08-10 09:46:00,29772.0,29791.0,29767.5,29788.0,1554
