direction,entry_time,exit_time,entry_price,exit_price,contracts,stop_points,pnl_per_contract,pnl,fees,exit_reason,days_in_trade,account_value,risk_dollars,risk_pct,account_value_entry,scenario
long,2026-03-09 10:00:00,2026-03-09 14:15:00,24585.5,24785.5,4,100.0,3980.0,15920.0,20.0,target,1,963470.0,8000.0,0.8442826236082529,947550.0,PRIMARY
long,2026-03-09 14:20:00,2026-03-09 14:30:00,24792.75,24992.75,4,100.0,3980.0,15920.0,20.0,target,1,979390.0,8000.0,0.8303320290201045,963470.0,PRIMARY
long,2026-03-10 10:00:00,2026-03-10 13:10:00,25152.75,25052.75,4,100.0,-2020.0,-8080.0,20.0,stop,1,971310.0,8000.0,0.8168349687050103,979390.0,PRIMARY
short,2026-03-11 10:10:00,2026-03-11 14:30:00,24958.25,24968.0,4,100.0,-215.0,-860.0,20.0,eod_short,1,970450.0,8000.0,0.8236299430665802,971310.0,PRIMARY
short,2026-03-12 10:10:00,2026-03-12 10:35:00,24572.5,24672.5,4,100.0,-2020.0,-8080.0,20.0,stop,1,962370.0,8000.0,0.8243598330671339,970450.0,PRIMARY
short,2026-03-12 14:10:00,2026-03-12 14:30:00,24572.5,24626.25,4,100.0,-1095.0,-4380.0,20.0,eod_short,1,957990.0,8000.0,0.831281108097717,962370.0,PRIMARY
short,2026-03-13 10:00:00,2026-03-13 14:30:00,24482.0,24378.5,4,100.0,2050.0,8200.0,20.0,eod_short,1,966190.0,8000.0,0.835081785822399,957990.0,PRIMARY
short,2026-03-16 11:30:00,2026-03-16 12:00:00,24833.25,24933.25,4,100.0,-2020.0,-8080.0,20.0,stop,1,958110.0,8000.0,0.8279944938366159,966190.0,PRIMARY
long,2026-03-16 14:05:00,2026-03-16 14:25:00,24980.0,24880.0,4,100.0,-2020.0,-8080.0,20.0,stop,1,950030.0,8000.0,0.8349771946853702,958110.0,PRIMARY
short,2026-03-17 10:35:00,2026-03-17 14:30:00,24964.0,25002.25,4,100.0,-785.0,-3140.0,20.0,eod_short,1,946890.0,8000.0,0.8420786711998569,950030.0,PRIMARY
short,2026-03-18 12:00:00,2026-03-18 13:00:00,24811.75,24911.75,4,100.0,-2020.0,-8080.0,20.0,stop,1,938810.0,8000.0,0.8448711043521422,946890.0,PRIMARY
short,2026-03-18 13:30:00,2026-03-18 14:30:00,24811.75,24734.75,4,100.0,1520.0,6080.0,20.0,eod_short,1,944890.0,8000.0,0.852142606065125,938810.0,PRIMARY
long,2026-03-19 10:05:00,2026-03-19 10:25:00,24546.75,24446.75,4,100.0,-2020.0,-8080.0,20.0,stop,1,936810.0,8000.0,0.846659399506821,944890.0,PRIMARY
long,2026-03-19 14:00:00,2026-03-20 04:45:00,24546.75,24446.75,4,100.0,-2020.0,-8080.0,20.0,stop,2,928730.0,8000.0,0.8539618492543845,936810.0,PRIMARY
short,2026-03-20 12:05:00,2026-03-20 14:30:00,24231.25,24031.25,4,100.0,3980.0,15920.0,20.0,target,1,944650.0,8000.0,0.8613913623981135,928730.0,PRIMARY
long,2026-03-23 10:10:00,2026-03-23 10:35:00,24688.25,24588.25,4,100.0,-2020.0,-8080.0,20.0,stop,1,936570.0,8000.0,0.8468745037844705,944650.0,PRIMARY
short,2026-03-23 10:50:00,2026-03-23 13:35:00,24432.5,24532.5,4,100.0,-2020.0,-8080.0,20.0,stop,1,928490.0,8000.0,0.8541806805684572,936570.0,PRIMARY
long,2026-03-24 10:15:00,2026-03-24 12:00:00,24343.0,24243.0,4,100.0,-2020.0,-8080.0,20.0,stop,1,920410.0,8000.0,0.8616140184600803,928490.0,PRIMARY
long,2026-03-24 13:35:00,2026-03-24 14:30:00,24343.0,24243.0,4,100.0,-2020.0,-8080.0,20.0,stop,1,912330.0,8000.0,0.8691778663856324,920410.0,PRIMARY
short,2026-03-25 10:15:00,2026-03-25 10:25:00,24327.5,24427.5,4,100.0,-2020.0,-8080.0,20.0,stop,1,904250.0,8000.0,0.8768756919097256,912330.0,PRIMARY
short,2026-03-25 13:55:00,2026-03-25 14:30:00,24327.5,24343.0,4,100.0,-330.0,-1320.0,20.0,eod_short,1,902930.0,8000.0,0.8847110865358032,904250.0,PRIMARY
