sample,entry_model,risk_rule,vol_floor_k,target_r,years,total_trades_primary,weighted_avg_gross_R_primary,weighted_avg_net_R_primary,annual_median_net_R_primary,positive_years_primary,median_annual_pf_primary,min_annual_net_R_primary,max_annual_net_R_primary,weighted_avg_net_R_spread010,weighted_avg_net_R_spread012,weighted_avg_net_R_stress,positive_years_stress,median_annual_pf_stress,gate_1,gate_2,gate_3,gate_4,gate_5,gate_6,gate_7,gate_8,survives_vantage_gate
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.75,0.75,1.5,15,17430,0.04436271990608875,0.019426651302050454,0.0167249571242044,10,1.03816399762726,-0.0854253350643772,0.1058100930386022,0.022953366086262795,0.01470926775708543,-0.02105544008928995,4,0.97269731210559,True,True,True,True,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.50,0.5,0.5,15,17430,0.04853139477262538,0.019048407286978958,0.0176737961115864,11,1.0616037279107151,-0.0565346145277402,0.0821127896959175,0.024056805135301812,0.015101900040325248,-0.02522628294312494,5,0.9510515656965168,True,True,True,True,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_1.00,1.0,2.5,15,17430,0.04015943572575875,0.018711914744935394,0.0165936401979252,11,1.0384545919030552,-0.0916723668416837,0.1033213800190937,0.02264897038277894,0.015485567937423148,-0.01660231993468183,5,0.9587929832567796,True,True,True,True,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_1.00,1.0,1.0,15,17430,0.03982930408510605,0.01838178310428268,0.0303783196914388,12,1.0805857534696133,-0.0678076155353756,0.0798441728219028,0.022090056961282883,0.01485564100190342,-0.016041955131136244,6,0.9623784354289728,True,True,True,True,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_1.00,1.0,2.0,15,17430,0.03942043758435435,0.017972916603530974,0.0196046995746438,11,1.0453264482731244,-0.0865089810594047,0.0936422107445222,0.02187161776654777,0.014565066743233995,-0.01642174716771114,6,0.9636522210191608,True,True,True,True,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.50,0.5,3.0,15,17430,0.04697811853730871,0.017495131051662286,0.0204012117532726,10,1.03905895723484,-0.1182725528211822,0.1240904726878393,0.022641646386795472,0.01264502404630267,-0.022941633690421206,6,0.973261882231322,True,True,True,True,True,True,False,False,False
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_1.00,1.0,1.5,15,755,0.04376697434660362,0.01720138165516986,-0.0220676160070844,7,0.9574075271207058,-0.2471397046479365,0.4154708115247805,0.025510708087137172,0.011898181795745645,-0.008471982242983418,7,0.9986489591849278,True,True,False,False,False,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.75,0.75,3.0,15,17430,0.04189194634370627,0.01695587773966795,0.0248451917368939,11,1.0510085332635624,-0.11619297637705,0.1146265500748542,0.021736253258191836,0.012425655554015343,-0.0190933071136889,6,0.9841486156777872,True,True,True,True,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_1.00,1.0,0.5,15,17430,0.03816904138280393,0.01672152040198057,0.0140075780388126,11,1.050330690831656,-0.0523532194716561,0.0575169275678503,0.02056854287197568,0.012978959298217655,-0.017810770630355393,6,0.9473480132252766,True,True,True,True,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.75,0.75,2.0,15,17430,0.04133587793845814,0.016399809334419837,0.0165194298571471,12,1.0356844743240383,-0.1037629597076091,0.0982691674631636,0.02084432020924038,0.011329936585404037,-0.021855007785563863,6,0.9537540418822296,True,True,True,True,True,True,False,False,False
