scenario,entry_time,exit_time,side,entry_px,exit_px,gross_usd,costs_usd,net_usd,gross_points,net_points,exit_reason
STRESS,2026-03-31 11:30:00-04:00,2026-03-31 12:00:00-04:00,long,23480.0,23460.25,-395.0,5.0,-400.0,-19.75,-20.0,trail
STRESS,2026-03-31 12:30:00-04:00,2026-03-31 15:59:00-04:00,long,23544.5,23909.25,7295.0,5.0,7290.0,364.75,364.5,eod
STRESS,2026-04-01 10:30:00-04:00,2026-04-01 14:30:00-04:00,long,24206.25,24155.5,-1015.0,5.0,-1020.0,-50.75,-51.0,trail
STRESS,2026-04-06 10:00:00-04:00,2026-04-06 11:00:00-04:00,long,24399.5,24316.75,-1655.0,5.0,-1660.0,-82.75,-83.0,trail
STRESS,2026-04-07 10:00:00-04:00,2026-04-07 12:00:00-04:00,short,24104.0,24119.0,-300.0,5.0,-305.0,-15.0,-15.25,trail
STRESS,2026-04-14 10:30:00-04:00,2026-04-14 15:59:00-04:00,long,25807.5,26000.25,3855.0,5.0,3850.0,192.75,192.5,eod
STRESS,2026-04-15 11:00:00-04:00,2026-04-15 13:00:00-04:00,long,26157.5,26153.25,-85.0,5.0,-90.0,-4.25,-4.5,trail
STRESS,2026-04-15 14:30:00-04:00,2026-04-15 15:59:00-04:00,long,26253.25,26363.75,2210.0,5.0,2205.0,110.5,110.25,eod
STRESS,2026-04-17 11:30:00-04:00,2026-04-17 12:00:00-04:00,long,26849.5,26796.75,-1055.0,5.0,-1060.0,-52.75,-53.0,trail
STRESS,2026-04-17 12:30:00-04:00,2026-04-17 13:00:00-04:00,long,26871.5,26862.25,-185.0,5.0,-190.0,-9.25,-9.5,trail
STRESS,2026-04-20 11:00:00-04:00,2026-04-20 11:30:00-04:00,short,26639.0,26680.0,-820.0,5.0,-825.0,-41.0,-41.25,trail
STRESS,2026-04-22 14:00:00-04:00,2026-04-22 14:30:00-04:00,long,27036.0,27002.5,-670.0,5.0,-675.0,-33.5,-33.75,trail
STRESS,2026-04-23 14:00:00-04:00,2026-04-23 14:30:00-04:00,short,26871.75,26951.5,-1595.0,5.0,-1600.0,-79.75,-80.0,trail
STRESS,2026-04-24 11:30:00-04:00,2026-04-24 15:59:00-04:00,long,27334.75,27433.5,1975.0,5.0,1970.0,98.75,98.5,eod
STRESS,2026-04-28 11:30:00-04:00,2026-04-28 12:00:00-04:00,short,27038.5,27051.5,-260.0,5.0,-265.0,-13.0,-13.25,trail
STRESS,2026-04-29 11:00:00-04:00,2026-04-29 11:30:00-04:00,long,27307.0,27284.75,-445.0,5.0,-450.0,-22.25,-22.5,trail
STRESS,2026-04-30 10:00:00-04:00,2026-04-30 11:00:00-04:00,short,27258.25,27383.0,-2495.0,5.0,-2500.0,-124.75,-125.0,trail
STRESS,2026-05-01 10:00:00-04:00,2026-05-01 15:00:00-04:00,long,27866.5,27820.25,-925.0,5.0,-930.0,-46.25,-46.5,trail
STRESS,2026-05-01 15:30:00-04:00,2026-05-01 15:59:00-04:00,long,27891.25,27836.75,-1090.0,5.0,-1095.0,-54.5,-54.75,eod
STRESS,2026-05-04 13:00:00-04:00,2026-05-04 13:30:00-04:00,short,27716.5,27794.0,-1550.0,5.0,-1555.0,-77.5,-77.75,trail
STRESS,2026-05-05 10:00:00-04:00,2026-05-05 15:59:00-04:00,long,28073.75,28135.25,1230.0,5.0,1225.0,61.5,61.25,eod
STRESS,2026-05-06 10:00:00-04:00,2026-05-06 10:30:00-04:00,long,28467.5,28434.5,-660.0,5.0,-665.0,-33.0,-33.25,trail
STRESS,2026-05-06 11:00:00-04:00,2026-05-06 15:59:00-04:00,long,28541.5,28709.75,3365.0,5.0,3360.0,168.25,168.0,eod
STRESS,2026-05-07 10:30:00-04:00,2026-05-07 11:30:00-04:00,long,28868.0,28871.25,65.0,5.0,60.0,3.25,3.0,trail
STRESS,2026-05-08 10:00:00-04:00,2026-05-08 15:59:00-04:00,long,29104.0,29339.25,4705.0,5.0,4700.0,235.25,235.0,eod
STRESS,2026-05-11 12:00:00-04:00,2026-05-11 13:00:00-04:00,long,29469.5,29421.75,-955.0,5.0,-960.0,-47.75,-48.0,trail
STRESS,2026-05-12 10:00:00-04:00,2026-05-12 15:30:00-04:00,short,29119.75,29076.5,865.0,5.0,860.0,43.25,43.0,trail
STRESS,2026-05-13 13:00:00-04:00,2026-05-13 15:59:00-04:00,long,29467.0,29475.5,170.0,5.0,165.0,8.5,8.25,eod
STRESS,2026-05-14 10:00:00-04:00,2026-05-14 13:30:00-04:00,long,29592.75,29660.75,1360.0,5.0,1355.0,68.0,67.75,trail
STRESS,2026-05-14 14:00:00-04:00,2026-05-14 15:59:00-04:00,long,29697.75,29686.25,-230.0,5.0,-235.0,-11.5,-11.75,eod
STRESS,2026-05-15 10:00:00-04:00,2026-05-15 10:30:00-04:00,short,29155.5,29311.0,-3110.0,5.0,-3115.0,-155.5,-155.75,trail
STRESS,2026-05-18 11:30:00-04:00,2026-05-18 15:59:00-04:00,short,28945.75,29099.25,-3070.0,5.0,-3075.0,-153.5,-153.75,eod
STRESS,2026-05-20 10:30:00-04:00,2026-05-20 12:30:00-04:00,long,29239.75,29235.75,-80.0,5.0,-85.0,-4.0,-4.25,trail
STRESS,2026-05-20 13:30:00-04:00,2026-05-20 15:59:00-04:00,long,29292.25,29395.75,2070.0,5.0,2065.0,103.5,103.25,eod
STRESS,2026-05-26 10:00:00-04:00,2026-05-26 11:30:00-04:00,long,30007.25,29987.0,-405.0,5.0,-410.0,-20.25,-20.5,trail
STRESS,2026-05-27 10:30:00-04:00,2026-05-27 11:30:00-04:00,short,29929.0,29967.5,-770.0,5.0,-775.0,-38.5,-38.75,trail
STRESS,2026-05-28 11:00:00-04:00,2026-05-28 15:59:00-04:00,long,30211.0,30305.75,1895.0,5.0,1890.0,94.75,94.5,eod
STRESS,2026-05-29 10:00:00-04:00,2026-05-29 10:30:00-04:00,long,30527.25,30419.25,-2160.0,5.0,-2165.0,-108.0,-108.25,trail
STRESS,2026-06-01 13:00:00-04:00,2026-06-01 15:59:00-04:00,long,30579.75,30570.75,-180.0,5.0,-185.0,-9.0,-9.25,eod
