entry_time,exit_time,side,entry,stop,target,risk_price,exit,exit_reason,gross_R,commission_R,net_R,date,scenario
2025-07-28 09:35:00,2025-07-28 11:15:00,LONG,567.00227778,566.1607,575.4180555799996,0.841577779999966,566.04746786,SL,-1.134547444919519,0.023764885997822813,-1.1583123309173418,2025-07-28,STRESS
2025-07-29 09:35:00,2025-07-29 09:45:00,LONG,570.2778220800001,569.323,579.8260428800011,0.954822080000099,569.2660677,SL,-1.0596260823796255,0.010473155375710376,-1.070099237755336,2025-07-29,PRIMARY
2025-07-29 09:35:00,2025-07-29 09:45:00,LONG,570.33484416,569.323,580.4532857600001,1.0118441600000097,569.2091354,SL,-1.1125317558782386,0.019765889640554736,-1.1322976455187934,2025-07-29,STRESS
2025-07-30 09:35:00,2025-07-30 09:35:00,SHORT,566.71252308,566.8889,564.9487538799995,0.17637692000005245,566.9455888900001,SL,-1.3214076422244778,0.05669676055119358,-1.3781044027756715,2025-07-30,PRIMARY
2025-07-30 09:35:00,2025-07-30 09:35:00,SHORT,566.65584616,566.8889,564.3253077599998,0.23305384000002505,567.00227778,SL,-1.4864875000555173,0.08581707986445472,-1.572304579919972,2025-07-30,STRESS
2025-07-31 09:35:00,2025-07-31 15:55:00,SHORT,571.40065422,573.2335,553.0721964199993,1.8328457800000706,563.68326269,TIME,4.210606050008031,0.005455996412311141,4.20515005359572,2025-07-31,PRIMARY
2025-07-31 09:35:00,2025-07-31 15:55:00,SHORT,571.34350844,573.2335,552.4435928400001,1.8899915599999986,563.73962538,TIME,4.023236516463624,0.010582057837337653,4.012654458626286,2025-07-31,STRESS
2025-08-01 09:35:00,2025-08-01 15:55:00,SHORT,555.62063238,557.6614,535.21295618,2.040767619999997,552.5592504,TIME,1.5001129721962019,0.004900116947171092,1.4952128552490307,2025-08-01,PRIMARY
2025-08-01 09:35:00,2025-08-01 15:55:00,SHORT,555.56506476,557.6614,534.6017123600009,2.0963352399999167,552.6145008,TIME,1.407486695687177,0.00954045880562538,1.3979462368815516,2025-08-01,STRESS
2025-08-04 09:35:00,2025-08-04 15:55:00,LONG,558.62505692,557.5916,568.9596261200005,1.0334569200000487,562.67282709,TIME,3.9167284979811683,0.009676262073894215,3.907052235907274,2025-08-04,PRIMARY
2025-08-04 09:35:00,2025-08-04 15:55:00,LONG,558.68091384,557.5916,569.5740522400005,1.0893138400000453,562.61655418,TIME,3.6129535818619543,0.01836018167179366,3.5945934001901607,2025-08-04,STRESS
2025-08-05 09:35:00,2025-08-05 09:35:00,SHORT,563.01189318,564.2404,550.72682498,1.2285068200000069,564.29682404,SL,-1.045928959515279,0.008139962951121382,-1.0540689224664004,2025-08-05,PRIMARY
2025-08-05 09:35:00,2025-08-05 09:35:00,SHORT,562.9555863600001,564.2404,550.1074499600008,1.2848136399999248,564.35324808,SL,-1.0878322555790596,0.01556645989530526,-1.103398715474365,2025-08-05,STRESS
2025-08-06 09:35:00,2025-08-06 09:35:00,LONG,561.0293973299999,559.3872,577.4513706299992,1.6421973299999308,559.33126128,SL,-1.0340633363470237,0.0060894021792133966,-1.0401527385262372,2025-08-06,PRIMARY
2025-08-06 09:35:00,2025-08-06 09:35:00,LONG,561.08549466,559.3872,578.0684412599999,1.6982946599999877,559.2753225600001,SL,-1.0658763420948074,0.011776519393872524,-1.07765286148868,2025-08-06,STRESS
2025-08-07 09:35:00,2025-08-07 09:45:00,LONG,570.627057,569.8118,578.7796270000009,0.8152570000000878,569.75481882,SL,-1.069893518240228,0.012266070699176975,-1.0821595889394051,2025-08-07,PRIMARY
2025-08-07 09:35:00,2025-08-07 09:45:00,LONG,570.684114,569.8118,579.4072540000008,0.872314000000074,569.69783764,SL,-1.1306437360858015,0.022927523804499646,-1.1535712598903012,2025-08-07,STRESS
2025-08-08 09:35:00,2025-08-08 15:55:00,LONG,569.2203163400001,568.7644,573.7794797400005,0.45591634000004433,573.09638463,TIME,8.501709524163017,0.02193384865302048,8.479775675509996,2025-08-08,PRIMARY
2025-08-08 09:35:00,2025-08-08 15:55:00,LONG,569.27723268,568.7644,574.4055594799997,0.5128326799999741,573.03906926,TIME,7.335407291127025,0.03899907470795545,7.296408216419069,2025-08-08,STRESS
2025-08-11 09:35:00,2025-08-11 09:40:00,SHORT,572.51784249,573.6425,561.2712673899998,1.12465751000002,573.69986425,SL,-1.0510059724759913,0.008891595806797948,-1.0598975682827891,2025-08-11,PRIMARY
2025-08-11 09:35:00,2025-08-11 09:40:00,SHORT,572.46058498,573.6425,560.6414347799998,1.1819150200000195,573.7572285,SL,-1.097070007621998,0.016921690359768565,-1.1139916979817666,2025-08-11,STRESS
2025-08-12 09:35:00,2025-08-12 09:45:00,LONG,574.94688894,573.2135,592.2807783400006,1.7333889400000544,573.15617865,SL,-1.033068948738035,0.005769045693807004,-1.038837994431842,2025-08-12,PRIMARY
2025-08-12 09:35:00,2025-08-12 09:45:00,LONG,575.00437788,573.2135,592.9131566800004,1.7908778800000391,573.0988573,SL,-1.0640148059676675,0.011167707314582257,-1.0751825132822497,2025-08-12,STRESS
2025-08-13 09:35:00,2025-08-13 09:45:00,LONG,581.74106829,580.9646,589.5057511900003,0.7764682900000253,580.90650354,SL,-1.0748214199449144,0.012878825998161078,-1.0877002459430756,2025-08-13,PRIMARY
2025-08-13 09:35:00,2025-08-13 09:45:00,LONG,581.79923658,580.9646,590.1456023799993,0.8346365799999376,580.84840708,SL,-1.1392137881136384,0.02396252510284356,-1.1631763132164818,2025-08-13,STRESS
2025-08-14 09:35:00,2025-08-14 15:55:00,LONG,578.03969819,576.5055,593.3816800899998,1.5341981899999837,578.39295492,TIME,0.2302549516109141,0.0065180627021858934,0.22373688890872823,2025-08-14,PRIMARY
2025-08-14 09:35:00,2025-08-14 15:55:00,LONG,578.0974963799999,576.5055,594.0174601799995,1.591996379999955,578.33510984,TIME,0.14925502531610083,0.012562842636614894,0.13669218267948594,2025-08-14,STRESS
2025-08-15 09:35:00,2025-08-15 15:55:00,SHORT,577.08618561,578.4308,563.6400417100006,1.344614389999947,575.88468271,TIME,0.8935668909508578,0.007437076439439559,0.8861298145114183,2025-08-15,PRIMARY
2025-08-15 09:35:00,2025-08-15 15:55:00,SHORT,577.02847122,578.4308,563.0051834200005,1.402328779999948,575.94226542,TIME,0.7745728501700267,0.014261990686663895,0.7603108594833629,2025-08-15,STRESS
2025-08-18 09:35:00,2025-08-18 09:50:00,LONG,576.21391563,575.0091,588.2620719299998,1.2048156299999846,574.95159909,SL,-1.0477258997711085,0.008300025125006162,-1.0560259248961148,2025-08-18,PRIMARY
2025-08-18 09:35:00,2025-08-18 09:50:00,LONG,576.27153126,575.0091,588.8958438599997,1.2624312599999712,574.89409818,SL,-1.0910955104200901,0.015842446740427243,-1.1069379571605173,2025-08-18,STRESS
2025-08-19 09:35:00,2025-08-19 15:55:00,SHORT,572.64752952,575.1588,547.53482472,2.5112704800000074,567.95328965,TIME,1.869268924787438,0.0039820481623309536,1.865286876625107,2025-08-19,PRIMARY
2025-08-19 09:35:00,2025-08-19 15:55:00,SHORT,572.59025904,575.1588,546.9048494399993,2.568540960000064,568.0100792999999,TIME,1.7831834536911368,0.007786521730219752,1.775396931960917,2025-08-19,STRESS
2025-08-20 09:35:00,2025-08-20 15:55:00,SHORT,565.5455397899999,567.0685,550.3159376899993,1.5229602100000648,564.5312474799999,TIME,0.6660005319508185,0.0065661597291498345,0.6594343722216687,2025-08-20,PRIMARY
2025-08-20 09:35:00,2025-08-20 15:55:00,SHORT,565.48897958,567.0685,549.69377538,1.5795204199999944,564.5876949599999,TIME,0.5706065009277137,0.012662071187405144,0.5579444297403086,2025-08-20,STRESS
2025-08-21 09:35:00,2025-08-21 09:35:00,SHORT,562.4832460499999,563.2877,554.4387065499996,0.8044539500000383,563.34402877,SL,-1.0700211242670228,0.012430792340567815,-1.0824519166075905,2025-08-21,PRIMARY
2025-08-21 09:35:00,2025-08-21 09:35:00,SHORT,562.4269921,563.2877,553.8199131000003,0.8607078999999658,563.40035754,SL,-1.130889399295616,0.02323668691782752,-1.1541260862134435,2025-08-21,STRESS
2025-08-22 09:35:00,2025-08-22 09:35:00,SHORT,562.5231420599999,563.4772,552.982562659999,0.9540579400000979,563.53354772,SL,-1.0590611090139417,0.010481543710017208,-1.0695426527239589,2025-08-22,PRIMARY
2025-08-22 09:35:00,2025-08-22 09:35:00,SHORT,562.46688412,563.4772,552.36372532,1.0103158800000074,563.5898954400001,SL,-1.1115447576653332,0.019795789016005424,-1.1313405466813387,2025-08-22,STRESS
2025-08-25 09:35:00,2025-08-25 09:55:00,SHORT,568.3184624700001,569.5325,556.1780871700008,1.2140375299999278,569.58945325,SL,-1.0469122647303957,0.00823697764928288,-1.0551492423796784,2025-08-25,PRIMARY
2025-08-25 09:35:00,2025-08-25 09:55:00,SHORT,568.26162494,569.5325,555.5528743400002,1.2708750599999803,569.6464065,SL,-1.089628401394537,0.015737188201647698,-1.1053655895961847,2025-08-25,STRESS
2025-08-26 09:35:00,2025-08-26 09:35:00,LONG,569.26022033,568.3753,578.10942363,0.8849203299999999,568.3184624700001,SL,-1.0642289797997282,0.011300452324335233,-1.0755294321240634,2025-08-26,PRIMARY
2025-08-26 09:35:00,2025-08-26 09:35:00,LONG,569.31714066,568.3753,578.7355472599991,0.9418406599999116,568.26162494,SL,-1.12069457693619,0.021235014423779366,-1.1419295913599694,2025-08-26,STRESS
2025-08-27 09:35:00,2025-08-27 09:40:00,LONG,570.607055,569.8318,578.359604999999,0.7752549999999019,569.7748168200001,SL,-1.0735024991776665,0.012898981625402307,-1.0864014808030689,2025-08-27,PRIMARY
2025-08-27 09:35:00,2025-08-27 09:40:00,LONG,570.6641099999999,569.8318,578.9872099999989,0.8323099999998931,569.7178336400001,SL,-1.136927779312953,0.024029508236117034,-1.1609572875490701,2025-08-27,STRESS
2025-08-28 09:35:00,2025-08-28 09:50:00,LONG,574.8570799600001,572.4454,598.9738795600014,2.4116799600001286,572.38815546,SL,-1.0237363750370672,0.0041464871649053575,-1.0278828622019724,2025-08-28,PRIMARY
2025-08-28 09:35:00,2025-08-28 09:50:00,LONG,574.91455992,572.4454,599.6061591200004,2.4691599200000383,572.33091092,SL,-1.0463676244995896,0.008099920883212656,-1.0544675453828023,2025-08-28,STRESS
2025-08-29 09:35:00,2025-08-29 15:55:00,SHORT,572.8769065800001,573.6325,565.3209723800004,0.7555934199999683,568.9808924,TIME,5.15623095288499,0.013234630868014201,5.142996322016976,2025-08-29,PRIMARY
2025-08-29 09:35:00,2025-08-29 15:55:00,SHORT,572.81961316,573.6325,564.6907447599997,0.8128868400000329,569.0377847999999,TIME,4.652342950957262,0.02460367054287555,4.627739280414387,2025-08-29,STRESS
2025-09-02 09:35:00,2025-09-02 09:35:00,SHORT,559.4709473099999,559.9957,554.2234204099987,0.5247526900001276,560.0516995700001,SL,-1.1067161180250955,0.01905659597475826,-1.1257727139998537,2025-09-02,PRIMARY
2025-09-02 09:35:00,2025-09-02 09:35:00,SHORT,559.41499462,559.9957,553.6079408199996,0.5807053800000403,560.10769914,SL,-1.192867405499082,0.03444087258154662,-1.2273082780806286,2025-09-02,STRESS
2025-09-03 09:35:00,2025-09-03 10:00:00,SHORT,567.2511692100001,568.2157,557.6058613100009,0.9645307899999125,568.27252157,SL,-1.0589111001837652,0.01036773538354427,-1.0692788355673095,2025-09-03,PRIMARY
2025-09-03 09:35:00,2025-09-03 10:00:00,SHORT,567.19443842,568.2157,556.9818226200001,1.0212615799999867,568.32934314,SL,-1.1112772106829119,0.019583621269685148,-1.130860831952597,2025-09-03,STRESS
2025-09-04 09:35:00,2025-09-04 10:00:00,LONG,570.70686498,568.7943,589.8325147799995,1.9125649799999564,568.73742057,SL,-1.0297398679756136,0.005228580521222462,-1.034968448496836,2025-09-04,PRIMARY
2025-09-04 09:35:00,2025-09-04 10:00:00,LONG,570.76392996,568.7943,590.4602295600002,1.9696299600000202,568.6805411400001,SL,-1.0577564630464702,0.010154191602568736,-1.067910654649039,2025-09-04,STRESS
2025-09-05 09:35:00,2025-09-05 15:55:00,SHORT,578.36795742,579.7077,564.97053162,1.3397425800000065,574.68756301,TIME,2.747090720965261,0.007464120458125584,2.7396266005071355,2025-09-05,PRIMARY
2025-09-05 09:35:00,2025-09-05 15:55:00,SHORT,578.31011484,579.7077,564.3342632399994,1.3975851600000624,574.74502602,TIME,2.5508920114748994,0.014310398086939551,2.53658161338796,2025-09-05,STRESS
2025-09-08 09:35:00,2025-09-08 13:50:00,LONG,577.86008023,576.6651,589.8098825299994,1.194980229999942,576.6074334900001,SL,-1.048257292089253,0.00836833928206535,-1.0566256313713183,2025-09-08,PRIMARY
2025-09-08 09:35:00,2025-09-08 13:50:00,LONG,577.9178604599999,576.6651,590.4454650599987,1.2527604599998767,576.5497669800001,SL,-1.0920631067809974,0.015964743970289394,-1.1080278507512868,2025-09-08,STRESS
2025-09-09 09:35:00,2025-09-09 09:40:00,LONG,578.49864408,577.9719,583.7660848799995,0.5267440799999576,577.91410281,SL,-1.1097253717592392,0.01898455128342554,-1.1287099230426647,2025-09-09,PRIMARY
2025-09-09 09:35:00,2025-09-09 09:40:00,LONG,578.55648816,577.9719,584.4023697599995,0.584588159999953,577.8563056200001,SL,-1.197736437220961,0.03421211952017915,-1.2319485567411401,2025-09-09,STRESS
2025-09-10 09:35:00,2025-09-10 15:55:00,SHORT,581.36535765,582.3513,571.5059341499992,0.985942350000073,579.3466288699999,TIME,2.047511986882307,0.01014258085170929,2.0373694060305976,2025-09-10,PRIMARY
2025-09-10 09:35:00,2025-09-10 15:55:00,SHORT,581.3072153,582.3513,570.8663683000002,1.0440846999999849,579.40455774,TIME,1.822321081805056,0.01915553402899237,1.8031655477760635,2025-09-10,STRESS
2025-09-11 09:35:00,2025-09-11 09:35:00,LONG,582.08030221,581.5981,586.9023243099997,0.48220220999996855,581.53994019,SL,-1.120612906357294,0.02073818782373613,-1.14135109418103,2025-09-11,PRIMARY
2025-09-11 09:35:00,2025-09-11 09:35:00,LONG,582.13850442,581.5981,587.5425486199996,0.5404044199999589,581.48178038,SL,-1.2152455007677803,0.03700931979794229,-1.2522548205657225,2025-09-11,STRESS
