year,sample,entry_model,target_r,trades,tp_pct,sl_pct,time_pct,ambiguous_same_bar_pct,avg_gross_R,pf_gross,avg_net_R_legacy22,pf_net_legacy22,avg_net_R_cost1_5x,pf_net_cost1_5x,median_risk_price,median_entry_delay_minutes,median_legacy_commission_R,sum_gross_R,sum_net_R_legacy22,sum_net_R_cost1_5x
2024,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.5,58,15.517241379310343,79.3103448275862,5.172413793103448,13.79310344827586,-0.3734728463345558,0.5305328651540775,-0.4674762983640814,0.4630035769517406,-0.5144780243788442,0.4334228933276106,2.330000000000382,8.0,0.09442234011198,-21.66142508740424,-27.113625305116724,-29.839725413972964
2025,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.5,66,22.727272727272727,72.72727272727273,4.545454545454546,4.545454545454546,-0.1458311965598953,0.8033179766905924,-0.2029208088148345,0.7411647708807021,-0.2314656149423042,0.7125496439160935,3.6030000000000655,10.0,0.0610641835675657,-9.62485897295309,-13.39277338177908,-15.27673058619208
2011,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,3.0,32,6.25,90.625,3.125,9.375,-0.6999251663072746,0.2295569051479143,-0.7863483702606685,0.2028625166952279,-0.8295599722373653,0.1910380564558536,2.446056156176269,7.0,0.0899436216270554,-22.39760532183279,-25.163147848341392,-26.54591911159569
2012,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,3.0,44,34.090909090909086,56.81818181818182,9.090909090909092,11.363636363636363,0.4043706142016765,1.5367284874525988,0.2498134421504142,1.296302319240056,0.1725348561247832,1.1943057618652864,1.9220000000002528,7.0,0.1144701734324228,17.792307024873768,10.991791454618228,7.591533669490463
2013,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,3.0,65,10.76923076923077,80.0,9.230769230769232,4.615384615384616,-0.4933501735322645,0.4201710098031448,-0.5945731006523273,0.3661788810286948,-0.6451845642123587,0.3427806967318991,2.2235528071141744,7.0,0.0989407579150439,-32.06776127959719,-38.64725154240127,-41.936996673803314
2014,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,3.0,42,4.761904761904762,66.66666666666666,28.57142857142857,9.523809523809524,-0.3640803956570043,0.4812451007694847,-0.4875326829035758,0.3900975676094546,-0.5492588265268618,0.3532422009153672,1.7039999999997235,8.0,0.1291079812206782,-15.29137661759418,-20.476372681950185,-23.06887071412819
2015,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,3.0,33,15.151515151515152,66.66666666666666,18.181818181818183,0.0,-0.0804927019003197,0.8792609471495204,-0.1954753232323327,0.7377469108070979,-0.252966633898339,0.677634596486844,1.8859999999999677,7.0,0.1166489925768843,-2.656259162710553,-6.4506856666669785,-8.347898918645189
2016,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,3.0,22,13.636363636363637,68.18181818181817,18.181818181818183,22.727272727272727,-0.3158291506628036,0.5646229366016856,-0.4298210805728075,0.4768468343590953,-0.4868170455278094,0.440398687513071,1.9389999999996237,7.0,0.1134794110073498,-6.94824131458168,-9.456063772601766,-10.709975001611808
2017,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,3.0,18,5.555555555555555,66.66666666666666,27.77777777777778,5.555555555555555,-0.277751212982112,0.5874950864412707,-0.4146507711230786,0.4626198256466517,-0.483100550193562,0.412433633431599,1.5270000000000437,9.0,0.1440783514492712,-4.999521833678015,-7.463713880215415,-8.695809903484117
2018,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,3.0,17,5.88235294117647,70.58823529411765,23.52941176470588,0.0,-0.5577536312825094,0.2544619765114682,-0.7061939316255532,0.1952573590393047,-0.7804140817970752,0.1717538603491774,1.4079999999989925,6.0,0.1562500000001118,-9.48181173180266,-12.005296837634404,-13.267039390550275
