datetime,open_yahoo,high_yahoo,low_yahoo,close_yahoo,volume_yahoo,open_get,high_get,low_get,close_get,volume_get,open_abs_diff,high_abs_diff,low_abs_diff,close_abs_diff,max_ohlc_abs_diff
2026-07-29 13:31:00,27634.5,27659.0,27629.5,27659.0,980,27634.5,27659.0,27629.5,27658.0,984,0.0,0.0,0.0,1.0,1.0
2026-07-29 13:32:00,27659.0,27676.5,27656.75,27674.25,934,27658.25,27676.5,27656.75,27674.25,930,0.75,0.0,0.0,0.0,0.75
2026-07-29 13:33:00,27674.0,27693.0,27672.75,27693.0,752,27674.25,27693.0,27672.75,27693.0,752,0.25,0.0,0.0,0.0,0.25
2026-07-29 13:34:00,27692.25,27695.0,27665.0,27674.25,712,27692.25,27695.0,27665.0,27673.5,713,0.0,0.0,0.0,0.75,0.75
2026-07-29 13:35:00,27673.75,27679.75,27651.0,27656.75,652,27673.75,27679.75,27651.0,27656.75,651,0.0,0.0,0.0,0.0,0.0
2026-07-29 13:36:00,27654.25,27661.75,27644.5,27644.75,515,27656.0,27661.75,27644.5,27644.75,523,1.75,0.0,0.0,0.0,1.75
2026-07-29 13:37:00,27641.75,27663.0,27638.5,27652.0,549,27644.5,27663.0,27638.5,27652.0,541,2.75,0.0,0.0,0.0,2.75
2026-07-29 13:38:00,27652.75,27664.5,27647.0,27650.25,369,27652.75,27664.5,27647.0,27650.25,369,0.0,0.0,0.0,0.0,0.0
2026-07-29 13:39:00,27651.0,27662.25,27648.25,27658.75,461,27650.0,27662.25,27648.25,27658.75,461,1.0,0.0,0.0,0.0,1.0
2026-07-29 13:40:00,27658.25,27666.75,27654.0,27662.75,875,27658.25,27666.75,27654.0,27662.0,881,0.0,0.0,0.0,0.75,0.75
2026-07-29 13:41:00,27662.25,27676.25,27660.5,27672.0,773,27662.0,27676.25,27660.5,27673.25,770,0.25,0.0,0.0,1.25,1.25
2026-07-29 13:42:00,27675.75,27687.0,27660.0,27663.0,1071,27673.25,27687.0,27660.0,27662.0,1071,2.5,0.0,0.0,1.0,2.5
2026-07-29 13:43:00,27661.0,27689.75,27651.25,27686.75,548,27661.75,27689.75,27651.25,27686.75,545,0.75,0.0,0.0,0.0,0.75
2026-07-29 13:44:00,27687.75,27690.5,27674.75,27681.0,328,27687.75,27690.5,27674.75,27681.0,319,0.0,0.0,0.0,0.0,0.0
2026-07-29 13:45:00,27681.75,27686.25,27662.75,27664.5,320,27681.25,27686.25,27662.75,27664.75,310,0.5,0.0,0.0,0.25,0.5
2026-07-29 13:46:00,27663.75,27673.25,27656.0,27667.75,405,27664.25,27673.25,27656.0,27667.75,404,0.5,0.0,0.0,0.0,0.5
2026-07-29 13:47:00,27668.0,27675.25,27665.0,27674.75,258,27668.0,27675.25,27665.0,27674.75,258,0.0,0.0,0.0,0.0,0.0
2026-07-29 13:48:00,27676.0,27690.75,27671.5,27690.0,550,27675.25,27690.75,27671.5,27690.0,550,0.75,0.0,0.0,0.0,0.75
